xcoord (m)	temperature (K)	B_field (T)
0.000000000000000000e+00	4.500000858238870194e+00	0.000000000000000000e+00
4.169914668177176348e-02	4.500001380390799888e+00	0.000000000000000000e+00
8.339829336354352696e-02	4.500002389631030830e+00	0.000000000000000000e+00
1.250974400453152835e-01	4.500003562331895246e+00	0.000000000000000000e+00
1.667965867270870539e-01	4.500004817433942428e+00	0.000000000000000000e+00
2.084957334088588243e-01	4.500006132552025306e+00	0.000000000000000000e+00
2.501948800906305670e-01	4.500007496404615281e+00	0.000000000000000000e+00
2.918940267724023374e-01	4.500008903704754815e+00	0.000000000000000000e+00
3.335931734541741078e-01	4.500010348130523141e+00	0.000000000000000000e+00
3.752923201359458782e-01	4.500011826400955428e+00	0.000000000000000000e+00
4.169914668177176487e-01	4.500013333500971768e+00	0.000000000000000000e+00
4.586906134994894191e-01	4.500014867118670381e+00	0.000000000000000000e+00
5.003897601812611340e-01	4.500016423132795040e+00	0.000000000000000000e+00
5.420889068630329044e-01	4.500017999951220204e+00	0.000000000000000000e+00
5.837880535448046748e-01	4.500019594148877644e+00	0.000000000000000000e+00
6.254872002265764452e-01	4.500021204687748799e+00	0.000000000000000000e+00
6.671863469083482157e-01	4.500022828691857768e+00	0.000000000000000000e+00
7.088854935901199861e-01	4.500024465550450437e+00	0.000000000000000000e+00
7.505846402718917565e-01	4.500026112822764546e+00	0.000000000000000000e+00
7.922837869536635269e-01	4.500027770223663737e+00	0.000000000000000000e+00
8.339829336354352973e-01	4.500029435657156185e+00	0.000000000000000000e+00
8.756820803172070677e-01	4.500031109084423164e+00	0.000000000000000000e+00
9.173812269989788382e-01	4.500032788676971762e+00	0.000000000000000000e+00
9.590803736807506086e-01	4.500034474560169251e+00	0.000000000000000000e+00
1.000779520362522268e+00	4.500036165052107684e+00	0.000000000000000000e+00
1.042478667044294038e+00	4.500037860206473006e+00	0.000000000000000000e+00
1.084177813726065809e+00	4.500039557890311848e+00	0.000000000000000000e+00
1.125876960407837579e+00	4.500041256411570600e+00	0.000000000000000000e+00
1.167576107089609350e+00	4.500042948395067022e+00	0.000000000000000000e+00
1.209275253771381120e+00	4.500044615731698450e+00	0.000000000000000000e+00
1.250974400453152890e+00	4.500046221648584144e+00	0.000000000000000000e+00
1.289312000377627498e+00	4.500047644175875661e+00	0.000000000000000000e+00
1.321260000314689709e+00	4.500048812740903514e+00	0.000000000000000000e+00
1.347883333595574884e+00	4.500049783668249148e+00	0.000000000000000000e+00
1.370069444662979086e+00	4.500050592782998571e+00	0.000000000000000000e+00
1.388557870552482587e+00	4.500051268553337813e+00	0.000000000000000000e+00
1.403964892127068875e+00	4.500051833568855741e+00	0.000000000000000000e+00
1.416804076772557375e+00	4.500052306706914251e+00	0.000000000000000000e+00
1.427503397310464495e+00	4.500052703175103197e+00	0.000000000000000000e+00
1.436419497758720354e+00	4.500053035722122452e+00	0.000000000000000000e+00
1.443849581465600274e+00	4.500053314691369266e+00	0.000000000000000000e+00
1.450041317888000281e+00	4.500053548800381442e+00	0.000000000000000000e+00
1.455201098240000324e+00	4.500053745194199983e+00	0.000000000000000000e+00
1.459500915200000248e+00	4.500053909933498630e+00	0.000000000000000000e+00
1.463084096000000223e+00	4.500054048033851117e+00	0.000000000000000000e+00
1.466070080000000164e+00	4.500054163764998449e+00	0.000000000000000000e+00
1.468558400000000264e+00	4.500054260683519658e+00	0.000000000000000000e+00
1.470632000000000161e+00	4.500054341816287717e+00	0.000000000000000000e+00
1.472360000000000113e+00	4.500054409692586077e+00	0.000000000000000000e+00
1.473799999999999999e+00	4.500054466458774272e+00	0.000000000000000000e+00
1.475000000000000089e+00	4.500054513910042076e+00	0.000000000000000000e+00
1.475999999999999979e+00	4.500054553562175208e+00	0.000000000000000000e+00
1.477000000000000091e+00	4.500054593308560946e+00	0.000000000000000000e+00
1.477999999999999980e+00	4.500054633148047323e+00	0.000000000000000000e+00
1.479000000000000092e+00	4.500054673075349676e+00	0.000000000000000000e+00
1.479999999999999982e+00	4.500054713090538172e+00	0.000000000000000000e+00
1.481000000000000094e+00	4.500054753189274059e+00	0.000000000000000000e+00
1.481999999999999984e+00	4.500054793372200379e+00	0.000000000000000000e+00
1.483000000000000096e+00	4.500054833635564577e+00	0.000000000000000000e+00
1.483999999999999986e+00	4.500054873980337433e+00	0.000000000000000000e+00
1.485000000000000098e+00	4.500054914403179396e+00	0.000000000000000000e+00
1.485999999999999988e+00	4.500054954905251314e+00	0.000000000000000000e+00
1.487000000000000099e+00	4.500054995483549369e+00	0.000000000000000000e+00
1.487999999999999989e+00	4.500055036139372078e+00	0.000000000000000000e+00
1.489000000000000101e+00	4.500055076869974080e+00	0.000000000000000000e+00
1.489999999999999991e+00	4.500055117676777350e+00	0.000000000000000000e+00
1.491000000000000103e+00	4.500055158557264789e+00	0.000000000000000000e+00
1.491999999999999993e+00	4.500055199512956072e+00	0.000000000000000000e+00
1.493000000000000105e+00	4.500055240541549928e+00	0.000000000000000000e+00
1.493999999999999995e+00	4.500055281644652183e+00	0.000000000000000000e+00
1.495000000000000107e+00	4.500055322820161408e+00	0.000000000000000000e+00
1.495999999999999996e+00	4.500055364069759811e+00	0.000000000000000000e+00
1.497000000000000108e+00	4.500055405391551133e+00	0.000000000000000000e+00
1.497999999999999998e+00	4.500055446787283309e+00	0.000000000000000000e+00
1.499000000000000110e+00	4.500055488255265246e+00	0.000000000000000000e+00
1.500000000000000000e+00	4.500055529797301723e+00	0.000000000000000000e+00
1.500999999999999890e+00	4.500055571411889943e+00	0.000000000000000000e+00
1.502000000000000002e+00	4.500055613100923502e+00	0.000000000000000000e+00
