xcoord (m)	temperature (K)	B_field (T)	T_cur_sharing (K)
0.000000000000000000e+00	4.500000872842858435e+00	0.000000000000000000e+00	2.492500000000000000e+02
4.169914668177176348e-02	4.500001381830672997e+00	0.000000000000000000e+00	2.492500000000000000e+02
8.339829336354352696e-02	4.500002385797377435e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.250974400453152835e-01	4.500003555450869719e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.667965867270870539e-01	4.500004808281949487e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.084957334088588243e-01	4.500006121382356561e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.501948800906305670e-01	4.500007483568987610e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.918940267724023374e-01	4.500008889302876902e+00	0.000000000000000000e+00	2.492500000000000000e+02
3.335931734541741078e-01	4.500010332443266314e+00	0.000000000000000000e+00	2.492500000000000000e+02
3.752923201359458782e-01	4.500011809482117542e+00	0.000000000000000000e+00	2.492500000000000000e+02
4.169914668177176487e-01	4.500013315588713425e+00	0.000000000000000000e+00	2.492500000000000000e+02
4.586906134994894191e-01	4.500014848235465159e+00	0.000000000000000000e+00	2.492500000000000000e+02
5.003897601812611340e-01	4.500016403483553695e+00	0.000000000000000000e+00	2.492500000000000000e+02
5.420889068630329044e-01	4.500017979534734813e+00	0.000000000000000000e+00	2.492500000000000000e+02
5.837880535448046748e-01	4.500019573143569929e+00	0.000000000000000000e+00	2.492500000000000000e+02
6.254872002265764452e-01	4.500021183074430553e+00	0.000000000000000000e+00	2.492500000000000000e+02
6.671863469083482157e-01	4.500022806627831606e+00	0.000000000000000000e+00	2.492500000000000000e+02
7.088854935901199861e-01	4.500024443003047381e+00	0.000000000000000000e+00	2.492500000000000000e+02
7.505846402718917565e-01	4.500026089932125828e+00	0.000000000000000000e+00	2.492500000000000000e+02
7.922837869536635269e-01	4.500027746947194096e+00	0.000000000000000000e+00	2.492500000000000000e+02
8.339829336354352973e-01	4.500029412121070216e+00	0.000000000000000000e+00	2.492500000000000000e+02
8.756820803172070677e-01	4.500031085238877182e+00	0.000000000000000000e+00	2.492500000000000000e+02
9.173812269989788382e-01	4.500032764636570981e+00	0.000000000000000000e+00	2.492500000000000000e+02
9.590803736807506086e-01	4.500034450269446040e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.000779520362522268e+00	4.500036140614913194e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.042478667044294038e+00	4.500037835559560051e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.084177813726065809e+00	4.500039533117000445e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.125876960407837579e+00	4.500041231410759401e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.167576107089609350e+00	4.500042923134432549e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.209275253771381120e+00	4.500044589764457648e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.250974400453152890e+00	4.500046195672133820e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.289312000377627498e+00	4.500047618773963976e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.321260000314689709e+00	4.500048787592461963e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.347883333595574884e+00	4.500049758608350992e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.370069444662979086e+00	4.500050567861975992e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.388557870552482587e+00	4.500051243713594218e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.403964892127068875e+00	4.500051808879914184e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.416804076772557375e+00	4.500052282130950765e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.427503397310464495e+00	4.500052678768870607e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.436419497758720354e+00	4.500053011453990059e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.443849581465600274e+00	4.500053290596645716e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.450041317888000281e+00	4.500053524850016196e+00	0.000000000000000000e+00	2.492500000000000000e+02
