xcoord (m)	temperature (K)	B_field (T)	T_cur_sharing (K)
0.000000000000000000e+00	4.500000872842848665e+00	0.000000000000000000e+00	2.492500000000000000e+02
4.169914668177176348e-02	4.500001381830684544e+00	0.000000000000000000e+00	2.492500000000000000e+02
8.339829336354352696e-02	4.500002385797364113e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.250974400453152835e-01	4.500003555450878601e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.667965867270870539e-01	4.500004808281944157e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.084957334088588243e-01	4.500006121382363666e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.501948800906305670e-01	4.500007483568987610e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.918940267724023374e-01	4.500008889302877790e+00	0.000000000000000000e+00	2.492500000000000000e+02
3.335931734541741078e-01	4.500010332443273420e+00	0.000000000000000000e+00	2.492500000000000000e+02
3.752923201359458782e-01	4.500011809482105996e+00	0.000000000000000000e+00	2.492500000000000000e+02
4.169914668177176487e-01	4.500013315588711649e+00	0.000000000000000000e+00	2.492500000000000000e+02
4.586906134994894191e-01	4.500014848235474041e+00	0.000000000000000000e+00	2.492500000000000000e+02
5.003897601812611340e-01	4.500016403483561689e+00	0.000000000000000000e+00	2.492500000000000000e+02
5.420889068630329044e-01	4.500017979534722379e+00	0.000000000000000000e+00	2.492500000000000000e+02
5.837880535448046748e-01	4.500019573143561935e+00	0.000000000000000000e+00	2.492500000000000000e+02
6.254872002265764452e-01	4.500021183074447428e+00	0.000000000000000000e+00	2.492500000000000000e+02
6.671863469083482157e-01	4.500022806627821836e+00	0.000000000000000000e+00	2.492500000000000000e+02
7.088854935901199861e-01	4.500024443003052710e+00	0.000000000000000000e+00	2.492500000000000000e+02
7.505846402718917565e-01	4.500026089932108064e+00	0.000000000000000000e+00	2.492500000000000000e+02
7.922837869536635269e-01	4.500027746947210971e+00	0.000000000000000000e+00	2.492500000000000000e+02
8.339829336354352973e-01	4.500029412121070216e+00	0.000000000000000000e+00	2.492500000000000000e+02
8.756820803172070677e-01	4.500031085238860307e+00	0.000000000000000000e+00	2.492500000000000000e+02
9.173812269989788382e-01	4.500032764636602067e+00	0.000000000000000000e+00	2.492500000000000000e+02
9.590803736807506086e-01	4.500034450269438935e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.000779520362522268e+00	4.500036140614914082e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.042478667044294038e+00	4.500037835559562716e+00	0.000000000000000000e+00	2.492500000000000000e+02
