xcoord (m)	temperature (K)	B_field (T)
0.000000000000000000e+00	4.500000860169822481e+00	0.000000000000000000e+00
4.169914668177176348e-02	4.500001381015873214e+00	0.000000000000000000e+00
8.339829336354352696e-02	4.500002389975628070e+00	0.000000000000000000e+00
1.250974400453152835e-01	4.500003562657004963e+00	0.000000000000000000e+00
1.667965867270870539e-01	4.500004817792749634e+00	0.000000000000000000e+00
2.084957334088588243e-01	4.500006132946353432e+00	0.000000000000000000e+00
2.501948800906305670e-01	4.500007496839194765e+00	0.000000000000000000e+00
2.918940267724023374e-01	4.500008904169012780e+00	0.000000000000000000e+00
3.335931734541741078e-01	4.500010348627566437e+00	0.000000000000000000e+00
3.752923201359458782e-01	4.500011826920633951e+00	0.000000000000000000e+00
4.169914668177176487e-01	4.500013334046907509e+00	0.000000000000000000e+00
4.586906134994894191e-01	4.500014867681680464e+00	0.000000000000000000e+00
5.003897601812611340e-01	4.500016423716935776e+00	0.000000000000000000e+00
5.420889068630329044e-01	4.500018000548046793e+00	0.000000000000000000e+00
5.837880535448046748e-01	4.500019594762816766e+00	0.000000000000000000e+00
6.254872002265764452e-01	4.500021205311000472e+00	0.000000000000000000e+00
6.671863469083482157e-01	4.500022829329043184e+00	0.000000000000000000e+00
7.088854935901199861e-01	4.500024466194354034e+00	0.000000000000000000e+00
7.505846402718917565e-01	4.500026113478089229e+00	0.000000000000000000e+00
7.922837869536635269e-01	4.500027770883658462e+00	0.000000000000000000e+00
8.339829336354352973e-01	4.500029436326619781e+00	0.000000000000000000e+00
8.756820803172070677e-01	4.500031109756982062e+00	0.000000000000000000e+00
9.173812269989788382e-01	4.500032789357441665e+00	0.000000000000000000e+00
9.590803736807506086e-01	4.500034475242452814e+00	0.000000000000000000e+00
1.000779520362522268e+00	4.500036165740798566e+00	0.000000000000000000e+00
1.042478667044294038e+00	4.500037860895303332e+00	0.000000000000000000e+00
1.084177813726065809e+00	4.500039558582377808e+00	0.000000000000000000e+00
1.125876960407837579e+00	4.500041257096718539e+00	0.000000000000000000e+00
1.167576107089609350e+00	4.500042949063741915e+00	0.000000000000000000e+00
1.209275253771381120e+00	4.500044616331929426e+00	0.000000000000000000e+00
1.250974400453152890e+00	4.500046222251950390e+00	0.000000000000000000e+00
1.289312000377627498e+00	4.500047644846159045e+00	0.000000000000000000e+00
1.321260000314689709e+00	4.500048813432021788e+00	0.000000000000000000e+00
1.347883333595574884e+00	4.500049784364789751e+00	0.000000000000000000e+00
1.370069444662979086e+00	4.500050593488658102e+00	0.000000000000000000e+00
1.388557870552482587e+00	4.500051269265956222e+00	0.000000000000000000e+00
1.403964892127068875e+00	4.500051834294304776e+00	0.000000000000000000e+00
1.416804076772557375e+00	4.500052307444809330e+00	0.000000000000000000e+00
1.427503397310464495e+00	4.500052703929708464e+00	0.000000000000000000e+00
1.436419497758720354e+00	4.500053036493152803e+00	0.000000000000000000e+00
1.443849581465600274e+00	4.500053315480729843e+00	0.000000000000000000e+00
1.450041317888000281e+00	4.500053549607323511e+00	0.000000000000000000e+00
1.455201098240000324e+00	4.500053746018753742e+00	0.000000000000000000e+00
1.459500915200000248e+00	4.500053910774323818e+00	0.000000000000000000e+00
1.463084096000000223e+00	4.500054048889912117e+00	0.000000000000000000e+00
1.466070080000000164e+00	4.500054164634257781e+00	0.000000000000000000e+00
1.468558400000000264e+00	4.500054261564290670e+00	0.000000000000000000e+00
1.470632000000000161e+00	4.500054342705942290e+00	0.000000000000000000e+00
1.472360000000000113e+00	4.500054410589115150e+00	0.000000000000000000e+00
1.473799999999999999e+00	4.500054467359499988e+00	0.000000000000000000e+00
1.475000000000000089e+00	4.500054514813124129e+00	0.000000000000000000e+00
1.475999999999999979e+00	4.500054554465550360e+00	0.000000000000000000e+00
1.477000000000000091e+00	4.500054594211476022e+00	0.000000000000000000e+00
1.477999999999999980e+00	4.500054634049655888e+00	0.000000000000000000e+00
1.479000000000000092e+00	4.500054673975427022e+00	0.000000000000000000e+00
1.479999999999999982e+00	4.500054713988613564e+00	0.000000000000000000e+00
1.481000000000000094e+00	4.500054754085403452e+00	0.000000000000000000e+00
