xcoord (m)	temperature (K)	B_field (T)
0.000000000000000000e+00	4.500000853694904990e+00	0.000000000000000000e+00
4.169914668177176348e-02	4.500001376887198035e+00	0.000000000000000000e+00
8.339829336354352696e-02	4.500002384845784853e+00	0.000000000000000000e+00
1.250974400453152835e-01	4.500003555802625677e+00	0.000000000000000000e+00
1.667965867270870539e-01	4.500004809266898498e+00	0.000000000000000000e+00
2.084957334088588243e-01	4.500006122890463089e+00	0.000000000000000000e+00
2.501948800906305670e-01	4.500007485432629295e+00	0.000000000000000000e+00
2.918940267724023374e-01	4.500008891557745194e+00	0.000000000000000000e+00
3.335931734541741078e-01	4.500010334960363068e+00	0.000000000000000000e+00
3.752923201359458782e-01	4.500011812311631054e+00	0.000000000000000000e+00
4.169914668177176487e-01	4.500013318614377589e+00	0.000000000000000000e+00
4.586906134994894191e-01	4.500014851513033598e+00	0.000000000000000000e+00
5.003897601812611340e-01	4.500016406906238053e+00	0.000000000000000000e+00
5.420889068630329044e-01	4.500017983161916035e+00	0.000000000000000000e+00
5.837880535448046748e-01	4.500019576876290728e+00	0.000000000000000000e+00
6.254872002265764452e-01	4.500021186974451304e+00	0.000000000000000000e+00
6.671863469083482157e-01	4.500022810602695600e+00	0.000000000000000000e+00
7.088854935901199861e-01	4.500024447115904103e+00	0.000000000000000000e+00
7.505846402718917565e-01	4.500026094096136298e+00	0.000000000000000000e+00
7.922837869536635269e-01	4.500027751226116202e+00	0.000000000000000000e+00
8.339829336354352973e-01	4.500029416432901996e+00	0.000000000000000000e+00
8.756820803172070677e-01	4.500031089647432481e+00	0.000000000000000000e+00
9.173812269989788382e-01	4.500032769064315374e+00	0.000000000000000000e+00
9.590803736807506086e-01	4.500034454780376336e+00	0.000000000000000000e+00
1.000779520362522268e+00	4.500036145136859567e+00	0.000000000000000000e+00
1.042478667044294038e+00	4.500037840160851843e+00	0.000000000000000000e+00
1.084177813726065809e+00	4.500039537744044971e+00	0.000000000000000000e+00
1.125876960407837579e+00	4.500041236173506931e+00	0.000000000000000000e+00
1.167576107089609350e+00	4.500042928112352847e+00	0.000000000000000000e+00
1.209275253771381120e+00	4.500044595493482902e+00	0.000000000000000000e+00
1.250974400453152890e+00	4.500046201382610356e+00	0.000000000000000000e+00
