xcoord (m)	pressure (Pa)	temperature (K)	total_density (kg/m^3)	velocity (m/s)	total_dynamic_viscosity (J/kg)	total_gruneisen (~)	total_enthalpy (m/s)	total_isobaric_specific_heat (J/kg/K)	total_isochoric_specific_heat (J/kg/K)	total_speed_of_sound (W/m/K)	total_thermal_conductivity (Pa*s)	Reynolds (~)	Prandtl (~)	mass_flow_rate (kg/s)
0.000000000000000000e+00	6.000000090458679479e+05	4.500000000000000000e+00	1.396074486910740404e+02	1.824488432602248800e+00	4.026507168672055494e-06	1.432076813157669326e+00	2.846132373228988399e+03	3.614772754663900287e+03	2.330216258124484739e+03	2.460577775192014087e+02	2.208956746993476911e-02	1.580867016407970223e+05	6.589041831436823760e-01	5.000000000000000104e-03
4.169914668177176348e-02	5.999985535893903580e+05	4.500001792823868030e+00	1.396073895566068757e+02	1.824488886379792563e+00	4.026504759375295220e-06	1.432076513225267522e+00	2.846126047230512540e+03	3.614775393319971954e+03	2.330216582168936384e+03	2.460576152575888784e+02	2.208956010997001340e-02	1.580867962334526528e+05	6.589044893975178896e-01	4.999999125690536735e-03
8.339829336354352696e-02	5.999970769906247733e+05	4.500003561838361144e+00	1.396073301612603927e+02	1.824489966259862594e+00	4.026502350078534100e-06	1.432076213292865940e+00	2.846119721232036227e+03	3.614778031976044076e+03	2.330216906213387574e+03	2.460574529959762913e+02	2.208955275000525076e-02	1.580868908262214973e+05	6.589047956509821447e-01	4.999999957865597366e-03
1.250974400453152835e-01	5.999956212143163430e+05	4.500005340953727284e+00	1.396072711826276702e+02	1.824490426769333151e+00	4.026499940781773827e-06	1.432075913360464137e+00	2.846113395233560368e+03	3.614780670632115744e+03	2.330217230257839219e+03	2.460572907343637041e+02	2.208954539004049158e-02	1.580869854191035556e+05	6.589051019040748081e-01	4.999999107583252833e-03
1.667965867270870539e-01	5.999941449305351125e+05	4.500007099623470452e+00	1.396072119191509273e+02	1.824491495866358060e+00	4.026497531485012707e-06	1.432075613428062555e+00	2.846107069235084509e+03	3.614783309288187411e+03	2.330217554302289955e+03	2.460571284727511454e+02	2.208953803007573241e-02	1.580870800120988279e+05	6.589054081567957688e-01	4.999999914926067830e-03
2.084957334088588243e-01	5.999926888433234999e+05	4.500008869448756776e+00	1.396071530435561385e+02	1.824491963732032040e+00	4.026495122188252434e-06	1.432075313495660973e+00	2.846100743236608650e+03	3.614785947944259078e+03	2.330217878346741145e+03	2.460569662111385583e+02	2.208953067011096977e-02	1.580871746052072849e+05	6.589057144091454710e-01	4.999999088490755285e-03
2.501948800906305670e-01	5.999912128652873216e+05	4.500010620419332419e+00	1.396070938799605585e+02	1.824493022793866270e+00	4.026492712891490467e-06	1.432075013563259169e+00	2.846094417238132337e+03	3.614788586600330746e+03	2.330218202391192790e+03	2.460568039495259711e+02	2.208952331014621059e-02	1.580872691984289850e+05	6.589060206611232484e-01	4.999999871905215325e-03
2.918940267724023374e-01	5.999897564760399982e+05	4.500012383021150697e+00	1.396070350828313167e+02	1.824493498099215349e+00	4.026490303594731041e-06	1.432074713630857588e+00	2.846088091239656478e+03	3.614791225256402868e+03	2.330218526435643980e+03	2.460566416879134124e+02	2.208951595018145489e-02	1.580873637917638116e+05	6.589063269127299893e-01	4.999999068665607685e-03
3.335931734541741078e-01	5.999882807948422851e+05	4.500014128041017081e+00	1.396069759979033904e+02	1.824494547681019707e+00	4.026487894297969074e-06	1.432074413698456006e+00	2.846081765241180165e+03	3.614793863912474990e+03	2.330218850480095170e+03	2.460564794263008537e+02	2.208950859021669225e-02	1.580874583852118813e+05	6.589066331639649166e-01	4.999999828913422907e-03
3.752923201359458782e-01	5.999868241121839965e+05	4.500015884962007107e+00	1.396069172609491602e+02	1.824495030422178754e+00	4.026485485001209648e-06	1.432074113766054424e+00	2.846075439242704761e+03	3.614796502568546657e+03	2.330219174524546816e+03	2.460563171646882665e+02	2.208950123025193307e-02	1.580875529787731066e+05	6.589069394148285852e-01	4.999999048203830447e-03
