xcoord (m)	temperature (K)	B_field (T)
0.000000000000000000e+00	4.500000858238890622e+00	0.000000000000000000e+00
4.169914668177176348e-02	4.500001380390770578e+00	0.000000000000000000e+00
8.339829336354352696e-02	4.500002389631044153e+00	0.000000000000000000e+00
1.250974400453152835e-01	4.500003562331881923e+00	0.000000000000000000e+00
1.667965867270870539e-01	4.500004817433951310e+00	0.000000000000000000e+00
2.084957334088588243e-01	4.500006132552022642e+00	0.000000000000000000e+00
2.501948800906305670e-01	4.500007496404624163e+00	0.000000000000000000e+00
2.918940267724023374e-01	4.500008903704755703e+00	0.000000000000000000e+00
3.335931734541741078e-01	4.500010348130532911e+00	0.000000000000000000e+00
3.752923201359458782e-01	4.500011826400966086e+00	0.000000000000000000e+00
4.169914668177176487e-01	4.500013333500965551e+00	0.000000000000000000e+00
4.586906134994894191e-01	4.500014867118670381e+00	0.000000000000000000e+00
5.003897601812611340e-01	4.500016423132797705e+00	0.000000000000000000e+00
5.420889068630329044e-01	4.500017999951222869e+00	0.000000000000000000e+00
5.837880535448046748e-01	4.500019594148897184e+00	0.000000000000000000e+00
6.254872002265764452e-01	4.500021204687735477e+00	0.000000000000000000e+00
6.671863469083482157e-01	4.500022828691864873e+00	0.000000000000000000e+00
7.088854935901199861e-01	4.500024465550461983e+00	0.000000000000000000e+00
7.505846402718917565e-01	4.500026112822780533e+00	0.000000000000000000e+00
7.922837869536635269e-01	4.500027770223653079e+00	0.000000000000000000e+00
8.339829336354352973e-01	4.500029435657164179e+00	0.000000000000000000e+00
8.756820803172070677e-01	4.500031109084413394e+00	0.000000000000000000e+00
9.173812269989788382e-01	4.500032788676966433e+00	0.000000000000000000e+00
9.590803736807506086e-01	4.500034474560182574e+00	0.000000000000000000e+00
1.000779520362522268e+00	4.500036165052105908e+00	0.000000000000000000e+00
1.042478667044294038e+00	4.500037860206484552e+00	0.000000000000000000e+00
1.084177813726065809e+00	4.500039557890311848e+00	0.000000000000000000e+00
1.125876960407837579e+00	4.500041256411580370e+00	0.000000000000000000e+00
1.167576107089609350e+00	4.500042948395067910e+00	0.000000000000000000e+00
1.209275253771381120e+00	4.500044615731697562e+00	0.000000000000000000e+00
1.250974400453152890e+00	4.500046221648573486e+00	0.000000000000000000e+00
1.289312000377627498e+00	4.500047644175882766e+00	0.000000000000000000e+00
1.321260000314689709e+00	4.500048812740910620e+00	0.000000000000000000e+00
1.347883333595574884e+00	4.500049783668256254e+00	0.000000000000000000e+00
1.370069444662979086e+00	4.500050592782986136e+00	0.000000000000000000e+00
1.388557870552482587e+00	4.500051268553338701e+00	0.000000000000000000e+00
1.403964892127068875e+00	4.500051833568865511e+00	0.000000000000000000e+00
1.416804076772557375e+00	4.500052306706908922e+00	0.000000000000000000e+00
1.427503397310464495e+00	4.500052703175100532e+00	0.000000000000000000e+00
1.436419497758720354e+00	4.500053035722135775e+00	0.000000000000000000e+00
1.443849581465600274e+00	4.500053314691372819e+00	0.000000000000000000e+00
1.450041317888000281e+00	4.500053548800375225e+00	0.000000000000000000e+00
1.455201098240000324e+00	4.500053745194198207e+00	0.000000000000000000e+00
1.459500915200000248e+00	4.500053909933498630e+00	0.000000000000000000e+00
1.463084096000000223e+00	4.500054048033855558e+00	0.000000000000000000e+00
1.466070080000000164e+00	4.500054163765002002e+00	0.000000000000000000e+00
1.468558400000000264e+00	4.500054260683524987e+00	0.000000000000000000e+00
1.470632000000000161e+00	4.500054341816292158e+00	0.000000000000000000e+00
1.472360000000000113e+00	4.500054409692595847e+00	0.000000000000000000e+00
1.473799999999999999e+00	4.500054466458773383e+00	0.000000000000000000e+00
1.475000000000000089e+00	4.500054513910045628e+00	0.000000000000000000e+00
1.475999999999999979e+00	4.500054553562180537e+00	0.000000000000000000e+00
1.477000000000000091e+00	4.500054593308555617e+00	0.000000000000000000e+00
1.477999999999999980e+00	4.500054633148039329e+00	0.000000000000000000e+00
1.479000000000000092e+00	4.500054673075340794e+00	0.000000000000000000e+00
1.479999999999999982e+00	4.500054713090523073e+00	0.000000000000000000e+00
1.481000000000000094e+00	4.500054753189257184e+00	0.000000000000000000e+00
1.481999999999999984e+00	4.500054793372184392e+00	0.000000000000000000e+00
1.483000000000000096e+00	4.500054833635542373e+00	0.000000000000000000e+00
