xcoord (m)	temperature (K)	B_field (T)
0.000000000000000000e+00	4.500000860169834915e+00	0.000000000000000000e+00
4.169914668177176348e-02	4.500001381015858115e+00	0.000000000000000000e+00
8.339829336354352696e-02	4.500002389975642281e+00	0.000000000000000000e+00
1.250974400453152835e-01	4.500003562656990752e+00	0.000000000000000000e+00
1.667965867270870539e-01	4.500004817792770950e+00	0.000000000000000000e+00
2.084957334088588243e-01	4.500006132946360538e+00	0.000000000000000000e+00
2.501948800906305670e-01	4.500007496839194765e+00	0.000000000000000000e+00
2.918940267724023374e-01	4.500008904169012780e+00	0.000000000000000000e+00
3.335931734541741078e-01	4.500010348627564660e+00	0.000000000000000000e+00
3.752923201359458782e-01	4.500011826920649050e+00	0.000000000000000000e+00
4.169914668177176487e-01	4.500013334046917279e+00	0.000000000000000000e+00
4.586906134994894191e-01	4.500014867681668917e+00	0.000000000000000000e+00
5.003897601812611340e-01	4.500016423716929559e+00	0.000000000000000000e+00
5.420889068630329044e-01	4.500018000548056563e+00	0.000000000000000000e+00
5.837880535448046748e-01	4.500019594762827424e+00	0.000000000000000000e+00
6.254872002265764452e-01	4.500021205310989814e+00	0.000000000000000000e+00
6.671863469083482157e-01	4.500022829329054730e+00	0.000000000000000000e+00
7.088854935901199861e-01	4.500024466194334494e+00	0.000000000000000000e+00
7.505846402718917565e-01	4.500026113478114098e+00	0.000000000000000000e+00
7.922837869536635269e-01	4.500027770883639811e+00	0.000000000000000000e+00
8.339829336354352973e-01	4.500029436326649090e+00	0.000000000000000000e+00
8.756820803172070677e-01	4.500031109756988279e+00	0.000000000000000000e+00
9.173812269989788382e-01	4.500032789357429230e+00	0.000000000000000000e+00
9.590803736807506086e-01	4.500034475242441268e+00	0.000000000000000000e+00
1.000779520362522268e+00	4.500036165740809224e+00	0.000000000000000000e+00
1.042478667044294038e+00	4.500037860895298891e+00	0.000000000000000000e+00
1.084177813726065809e+00	4.500039558582373367e+00	0.000000000000000000e+00
1.125876960407837579e+00	4.500041257096705216e+00	0.000000000000000000e+00
1.167576107089609350e+00	4.500042949063754349e+00	0.000000000000000000e+00
1.209275253771381120e+00	4.500044616331924985e+00	0.000000000000000000e+00
1.250974400453152890e+00	4.500046222251958383e+00	0.000000000000000000e+00
1.289312000377627498e+00	4.500047644846162598e+00	0.000000000000000000e+00
1.321260000314689709e+00	4.500048813432002248e+00	0.000000000000000000e+00
1.347883333595574884e+00	4.500049784364802186e+00	0.000000000000000000e+00
