xcoord (m)	temperature (K)	B_field (T)
0.000000000000000000e+00	4.500000853694928082e+00	0.000000000000000000e+00
4.169914668177176348e-02	4.500001376887174054e+00	0.000000000000000000e+00
8.339829336354352696e-02	4.500002384845799952e+00	0.000000000000000000e+00
1.250974400453152835e-01	4.500003555802616795e+00	0.000000000000000000e+00
1.667965867270870539e-01	4.500004809266909156e+00	0.000000000000000000e+00
2.084957334088588243e-01	4.500006122890450655e+00	0.000000000000000000e+00
2.501948800906305670e-01	4.500007485432643506e+00	0.000000000000000000e+00
2.918940267724023374e-01	4.500008891557737201e+00	0.000000000000000000e+00
3.335931734541741078e-01	4.500010334960371949e+00	0.000000000000000000e+00
3.752923201359458782e-01	4.500011812311637271e+00	0.000000000000000000e+00
4.169914668177176487e-01	4.500013318614371371e+00	0.000000000000000000e+00
4.586906134994894191e-01	4.500014851513024716e+00	0.000000000000000000e+00
5.003897601812611340e-01	4.500016406906241606e+00	0.000000000000000000e+00
5.420889068630329044e-01	4.500017983161919588e+00	0.000000000000000000e+00
5.837880535448046748e-01	4.500019576876297833e+00	0.000000000000000000e+00
6.254872002265764452e-01	4.500021186974456633e+00	0.000000000000000000e+00
6.671863469083482157e-01	4.500022810602700929e+00	0.000000000000000000e+00
7.088854935901199861e-01	4.500024447115893445e+00	0.000000000000000000e+00
7.505846402718917565e-01	4.500026094096146068e+00	0.000000000000000000e+00
7.922837869536635269e-01	4.500027751226096662e+00	0.000000000000000000e+00
8.339829336354352973e-01	4.500029416432910878e+00	0.000000000000000000e+00
8.756820803172070677e-01	4.500031089647443139e+00	0.000000000000000000e+00
9.173812269989788382e-01	4.500032769064296723e+00	0.000000000000000000e+00
9.590803736807506086e-01	4.500034454780376336e+00	0.000000000000000000e+00
1.000779520362522268e+00	4.500036145136872001e+00	0.000000000000000000e+00
1.042478667044294038e+00	4.500037840160854508e+00	0.000000000000000000e+00
1.084177813726065809e+00	4.500039537744052076e+00	0.000000000000000000e+00
1.125876960407837579e+00	4.500041236173497161e+00	0.000000000000000000e+00
1.167576107089609350e+00	4.500042928112369722e+00	0.000000000000000000e+00
1.209275253771381120e+00	4.500044595493466026e+00	0.000000000000000000e+00
1.250974400453152890e+00	4.500046201382613908e+00	0.000000000000000000e+00
1.289312000377627498e+00	4.500047623794680263e+00	0.000000000000000000e+00
1.321260000314689709e+00	4.500048792369962136e+00	0.000000000000000000e+00
1.347883333595574884e+00	4.500049763313537454e+00	0.000000000000000000e+00
1.370069444662979086e+00	4.500050572450206232e+00	0.000000000000000000e+00
1.388557870552482587e+00	4.500051248221403455e+00	0.000000000000000000e+00
1.403964892127068875e+00	4.500051813240374621e+00	0.000000000000000000e+00
1.416804076772557375e+00	4.500052286360117115e+00	0.000000000000000000e+00
1.427503397310464495e+00	4.500052682816458649e+00	0.000000000000000000e+00
1.436419497758720354e+00	4.500053015332384554e+00	0.000000000000000000e+00
1.443849581465600274e+00	4.500053294281089578e+00	0.000000000000000000e+00
1.450041317888000281e+00	4.500053528354256649e+00	0.000000000000000000e+00
1.455201098240000324e+00	4.500053724724643267e+00	0.000000000000000000e+00
1.459500915200000248e+00	4.500053889430025045e+00	0.000000000000000000e+00
1.463084096000000223e+00	4.500054027508307186e+00	0.000000000000000000e+00
1.466070080000000164e+00	4.500054143212134150e+00	0.000000000000000000e+00
