xcoord (m)	pressure (Pa)	temperature (K)	total_density (kg/m^3)	velocity (m/s)	total_dynamic_viscosity (J/kg)	total_gruneisen (~)	total_enthalpy (m/s)	total_isobaric_specific_heat (J/kg/K)	total_isochoric_specific_heat (J/kg/K)	total_speed_of_sound (W/m/K)	total_thermal_conductivity (Pa*s)	Reynolds (~)	Prandtl (~)	mass_flow_rate (kg/s)
6.671863469083482157e-01	5.999916862240801565e+05	4.500020694465066917e+00	1.396069852002425762e+02	2.402348256696379691e-01	4.026493504392767964e-06	1.432075112096940384e+00	2.846096495452801719e+03	3.614787719750018823e+03	2.330218095936229929e+03	2.460568572556506695e+02	2.208952572803909997e-02	2.425146747493007297e+03	6.589059200513783798e-01	2.179999883869860301e-05
7.088854935901199861e-01	5.999911667221150128e+05	4.500022291643571037e+00	1.396069526029543511e+02	2.402348677160449364e-01	4.026492650375312387e-06	1.432075005780645061e+00	2.846094253091790051e+03	3.614788655067901345e+03	2.330218210799464032e+03	2.460567997391787571e+02	2.208952311917062108e-02	2.425147261865647579e+03	6.589060286077125239e-01	2.179999756402708274e-05
7.505846402718917565e-01	5.999906469793098513e+05	4.500023904135715291e+00	1.396069198155693414e+02	2.402349370662720529e-01	4.026491796357856811e-06	1.432074899464349294e+00	2.846092010730777929e+03	3.614789590385783868e+03	2.330218325662698135e+03	2.460567422227068164e+02	2.208952051030214220e-02	2.425147776238505685e+03	6.589061371640000386e-01	2.179999873734110233e-05
7.922837869536635269e-01	5.999901274753636681e+05	4.500025530535241458e+00	1.396068868673636985e+02	2.402349797630148054e-01	4.026490942340401234e-06	1.432074793148053748e+00	2.846089768369766261e+03	3.614790525703665935e+03	2.330218440525932238e+03	2.460566847062349041e+02	2.208951790143366331e-02	2.425148290611582070e+03	6.589062457202408130e-01	2.179999746688310002e-05
8.339829336354352973e-01	5.999896077342351200e+05	4.500027168846838954e+00	1.396068537699816545e+02	2.402350496636342647e-01	4.026490088322945658e-06	1.432074686831758203e+00	2.846087526008754594e+03	3.614791461021548002e+03	2.330218555389165886e+03	2.460566271897629633e+02	2.208951529256518095e-02	2.425148804984877188e+03	6.589063542764350689e-01	2.179999864172992737e-05
8.756820803172070677e-01	5.999890882283139508e+05	4.500028818052275170e+00	1.396068205478533457e+02	2.402350928706904198e-01	4.026489234305490929e-06	1.432074580515462658e+00	2.846085283647742926e+03	3.614792396339430979e+03	2.330218670252400443e+03	2.460565696732910510e+02	2.208951268369670554e-02	2.425149319358389221e+03	6.589064628325826956e-01	2.179999737480198569e-05
9.173812269989788382e-01	5.999885684888630640e+05	4.500030476509873090e+00	1.396067872085674537e+02	2.402351631982598545e-01	4.026488380288035352e-06	1.432074474199167113e+00	2.846083041286730804e+03	3.614793331657313502e+03	2.330218785115634546e+03	2.460565121568191387e+02	2.208951007482822665e-02	2.425149833732119987e+03	6.589065713886834708e-01	2.179999855061271282e-05
9.590803736807506086e-01	5.999880489809706341e+05	4.500032143492737724e+00	1.396067537728688990e+02	2.402352068060641943e-01	4.026487526270579776e-06	1.432074367882871790e+00	2.846080798925720046e+03	3.614794266975195569e+03	2.330218899978868194e+03	2.460564546403471979e+02	2.208950746595974776e-02	2.425150348106069941e+03	6.589066799447375056e-01	2.179999728669648827e-05
1.000779520362522268e+00	5.999875292431983398e+05	4.500033817606221120e+00	1.396067202455701306e+02	2.402352774636289101e-01	4.026486672253124199e-06	1.432074261566576023e+00	2.846078556564707924e+03	3.614795202293077637e+03	2.330219014842102297e+03	2.460563971238752856e+02	2.208950485709126541e-02	2.425150862480237265e+03	6.589067885007450220e-01	2.179999846308814447e-05
1.042478667044294038e+00	5.999870097333375597e+05	4.500035498261054201e+00	1.396066866455758202e+02	2.402353213847301105e-01	4.026485818235668623e-06	1.432074155250280700e+00	2.846076314203696256e+03	3.614796137610960614e+03	2.330219129705336400e+03	2.460563396074033733e+02	2.208950224822278652e-02	2.425151376854622868e+03	6.589068970567057981e-01	2.179999720194219199e-05
1.084177813726065809e+00	5.999864899972439744e+05	4.500037183997000589e+00	1.396066529786743899e+02	2.402353922911343864e-01	4.026484964218213046e-06	1.432074048933984933e+00	2.846074071842684589e+03	3.614797072928842681e+03	2.330219244568570502e+03	2.460562820909314325e+02	2.208949963935430763e-02	2.425151891229225839e+03	6.589070056126198338e-01	2.179999837910966939e-05
1.125876960407837579e+00	5.999859704854203155e+05	4.500038873583169341e+00	1.396066192712834209e+02	2.402354364410372312e-01	4.026484110200757470e-06	1.432073942617689388e+00	2.846071829481672921e+03	3.614798008246725203e+03	2.330219359431804605e+03	2.460562245744595202e+02	2.208949703048582527e-02	2.425152405604048454e+03	6.589071141684873512e-01	2.179999712195141928e-05
1.167576107089609350e+00	5.999854507510049734e+05	4.500040563043864239e+00	1.396065855595722951e+02	2.402355074860753892e-01	4.026483256183301893e-06	1.432073836301393843e+00	2.846069587120660799e+03	3.614798943564607725e+03	2.330219474295038708e+03	2.460561670579875795e+02	2.208949442161734639e-02	2.425152919979088892e+03	6.589072227243080171e-01	2.179999830469633420e-05
1.209275253771381120e+00	5.999849312372225104e+05	4.500042247833926368e+00	1.396065519095515697e+02	2.402355516506139710e-01	4.026482402165846317e-06	1.432073729985098298e+00	2.846067344759649586e+03	3.614799878882490248e+03	2.330219589158272811e+03	2.460561095415156672e+02	2.208949181274887097e-02	2.425153434354346246e+03	6.589073312800820537e-01	2.179999705782027802e-05
1.250974400453152890e+00	5.999844115044926293e+05	4.500043850075990726e+00	1.396065192446082790e+02	2.402356224846339816e-01	4.026481548148390740e-06	1.432073623668802753e+00	2.846065102398637919e+03	3.614800814200372315e+03	2.330219704021506914e+03	2.460560520250437548e+02	2.208948920388039208e-02	2.425153948729823696e+03	6.589074398358092388e-01	2.179999838486697944e-05
1.289312000377627498e+00	5.999839338777023368e+05	4.500045247568757567e+00	1.396064901254862889e+02	2.402356632782181034e-01	4.026480762976939636e-06	1.432073525923118984e+00	2.846063040803948297e+03	3.614801674118275514e+03	2.330219809625123617e+03	2.460559991452208806e+02	2.208948680532396916e-02	2.425154421639482734e+03	6.589075396403536455e-01	2.179999753960613353e-05
