xcoord (m)	temperature (K)	B_field (T)
0.000000000000000000e+00	4.500000853694918312e+00	0.000000000000000000e+00
4.169914668177176348e-02	4.500001376887180271e+00	0.000000000000000000e+00
8.339829336354352696e-02	4.500002384845789294e+00	0.000000000000000000e+00
1.250974400453152835e-01	4.500003555802626565e+00	0.000000000000000000e+00
1.667965867270870539e-01	4.500004809266899386e+00	0.000000000000000000e+00
2.084957334088588243e-01	4.500006122890454208e+00	0.000000000000000000e+00
2.501948800906305670e-01	4.500007485432638177e+00	0.000000000000000000e+00
2.918940267724023374e-01	4.500008891557746082e+00	0.000000000000000000e+00
3.335931734541741078e-01	4.500010334960375502e+00	0.000000000000000000e+00
3.752923201359458782e-01	4.500011812311634607e+00	0.000000000000000000e+00
4.169914668177176487e-01	4.500013318614357161e+00	0.000000000000000000e+00
4.586906134994894191e-01	4.500014851513029157e+00	0.000000000000000000e+00
5.003897601812611340e-01	4.500016406906252264e+00	0.000000000000000000e+00
5.420889068630329044e-01	4.500017983161903601e+00	0.000000000000000000e+00
5.837880535448046748e-01	4.500019576876300498e+00	0.000000000000000000e+00
6.254872002265764452e-01	4.500021186974452192e+00	0.000000000000000000e+00
6.671863469083482157e-01	4.500022810602693824e+00	0.000000000000000000e+00
7.088854935901199861e-01	4.500024447115928083e+00	0.000000000000000000e+00
7.505846402718917565e-01	4.500026094096138074e+00	0.000000000000000000e+00
7.922837869536635269e-01	4.500027751226108208e+00	0.000000000000000000e+00
8.339829336354352973e-01	4.500029416432898444e+00	0.000000000000000000e+00
8.756820803172070677e-01	4.500031089647427152e+00	0.000000000000000000e+00
9.173812269989788382e-01	4.500032769064315374e+00	0.000000000000000000e+00
9.590803736807506086e-01	4.500034454780394988e+00	0.000000000000000000e+00
1.000779520362522268e+00	4.500036145136853349e+00	0.000000000000000000e+00
1.042478667044294038e+00	4.500037840160869607e+00	0.000000000000000000e+00
1.084177813726065809e+00	4.500039537744052964e+00	0.000000000000000000e+00
1.125876960407837579e+00	4.500041236173508707e+00	0.000000000000000000e+00
1.167576107089609350e+00	4.500042928112364393e+00	0.000000000000000000e+00
1.209275253771381120e+00	4.500044595493474908e+00	0.000000000000000000e+00
1.250974400453152890e+00	4.500046201382598809e+00	0.000000000000000000e+00
1.289312000377627498e+00	4.500047623794684704e+00	0.000000000000000000e+00
1.321260000314689709e+00	4.500048792369985229e+00	0.000000000000000000e+00
1.347883333595574884e+00	4.500049763313517026e+00	0.000000000000000000e+00
1.370069444662979086e+00	4.500050572450225772e+00	0.000000000000000000e+00
1.388557870552482587e+00	4.500051248221385691e+00	0.000000000000000000e+00
1.403964892127068875e+00	4.500051813240372844e+00	0.000000000000000000e+00
1.416804076772557375e+00	4.500052286360109122e+00	0.000000000000000000e+00
1.427503397310464495e+00	4.500052682816463090e+00	0.000000000000000000e+00
1.436419497758720354e+00	4.500053015332388995e+00	0.000000000000000000e+00
1.443849581465600274e+00	4.500053294281091354e+00	0.000000000000000000e+00
1.450041317888000281e+00	4.500053528354258425e+00	0.000000000000000000e+00
1.455201098240000324e+00	4.500053724724645043e+00	0.000000000000000000e+00
1.459500915200000248e+00	4.500053889430025933e+00	0.000000000000000000e+00
1.463084096000000223e+00	4.500054027508311627e+00	0.000000000000000000e+00
1.466070080000000164e+00	4.500054143212139479e+00	0.000000000000000000e+00
1.468558400000000264e+00	4.500054240113671611e+00	0.000000000000000000e+00
1.470632000000000161e+00	4.500054321228863508e+00	0.000000000000000000e+00
1.472360000000000113e+00	4.500054389096195706e+00	0.000000000000000000e+00
1.473799999999999999e+00	4.500054445855087515e+00	0.000000000000000000e+00
1.475000000000000089e+00	4.500054493304618042e+00	0.000000000000000000e+00
1.475999999999999979e+00	4.500054532955632070e+00	0.000000000000000000e+00
1.477000000000000091e+00	4.500054572703650280e+00	0.000000000000000000e+00
1.477999999999999980e+00	4.500054612544903243e+00	0.000000000000000000e+00
1.479000000000000092e+00	4.500054652476064732e+00	0.000000000000000000e+00
1.479999999999999982e+00	4.500054692494574127e+00	0.000000000000000000e+00
1.481000000000000094e+00	4.500054732598082197e+00	0.000000000000000000e+00
1.481999999999999984e+00	4.500054772784797485e+00	0.000000000000000000e+00
1.483000000000000096e+00	4.500054813052997815e+00	0.000000000000000000e+00
1.483999999999999986e+00	4.500054853401395327e+00	0.000000000000000000e+00
1.485000000000000098e+00	4.500054893828664859e+00	0.000000000000000000e+00
1.485999999999999988e+00	4.500054934333857837e+00	0.000000000000000000e+00
1.487000000000000099e+00	4.500054974915948414e+00	0.000000000000000000e+00
1.487999999999999989e+00	4.500055015574218942e+00	0.000000000000000000e+00
1.489000000000000101e+00	4.500055056307867396e+00	0.000000000000000000e+00
1.489999999999999991e+00	4.500055097116375968e+00	0.000000000000000000e+00
1.491000000000000103e+00	4.500055137999117605e+00	0.000000000000000000e+00
1.491999999999999993e+00	4.500055178955736146e+00	0.000000000000000000e+00
1.493000000000000105e+00	4.500055219985775068e+00	0.000000000000000000e+00
1.493999999999999995e+00	4.500055261089031866e+00	0.000000000000000000e+00
1.495000000000000107e+00	4.500055302265181467e+00	0.000000000000000000e+00
1.495999999999999996e+00	4.500055343514163475e+00	0.000000000000000000e+00
1.497000000000000108e+00	4.500055384835799366e+00	0.000000000000000000e+00
1.497999999999999998e+00	4.500055426230158417e+00	0.000000000000000000e+00
1.499000000000000110e+00	4.500055467697199774e+00	0.000000000000000000e+00
1.500000000000000000e+00	4.500055509237125051e+00	0.000000000000000000e+00
1.500999999999999890e+00	4.500055550850023067e+00	0.000000000000000000e+00
1.502000000000000002e+00	4.500055592536210902e+00	0.000000000000000000e+00
