xcoord (m)	temperature (K)	B_field (T)	T_cur_sharing (K)
0.000000000000000000e+00	4.500000872842868205e+00	0.000000000000000000e+00	2.492500000000000000e+02
4.169914668177176348e-02	4.500001381830655234e+00	0.000000000000000000e+00	2.492500000000000000e+02
8.339829336354352696e-02	4.500002385797373883e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.250974400453152835e-01	4.500003555450866166e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.667965867270870539e-01	4.500004808281956592e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.084957334088588243e-01	4.500006121382360114e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.501948800906305670e-01	4.500007483568991162e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.918940267724023374e-01	4.500008889302877790e+00	0.000000000000000000e+00	2.492500000000000000e+02
3.335931734541741078e-01	4.500010332443278749e+00	0.000000000000000000e+00	2.492500000000000000e+02
3.752923201359458782e-01	4.500011809482121983e+00	0.000000000000000000e+00	2.492500000000000000e+02
4.169914668177176487e-01	4.500013315588715201e+00	0.000000000000000000e+00	2.492500000000000000e+02
4.586906134994894191e-01	4.500014848235463383e+00	0.000000000000000000e+00	2.492500000000000000e+02
5.003897601812611340e-01	4.500016403483554583e+00	0.000000000000000000e+00	2.492500000000000000e+02
5.420889068630329044e-01	4.500017979534724155e+00	0.000000000000000000e+00	2.492500000000000000e+02
5.837880535448046748e-01	4.500019573143574370e+00	0.000000000000000000e+00	2.492500000000000000e+02
6.254872002265764452e-01	4.500021183074436770e+00	0.000000000000000000e+00	2.492500000000000000e+02
6.671863469083482157e-01	4.500022806627837824e+00	0.000000000000000000e+00	2.492500000000000000e+02
7.088854935901199861e-01	4.500024443003054486e+00	0.000000000000000000e+00	2.492500000000000000e+02
7.505846402718917565e-01	4.500026089932135598e+00	0.000000000000000000e+00	2.492500000000000000e+02
7.922837869536635269e-01	4.500027746947187879e+00	0.000000000000000000e+00	2.492500000000000000e+02
8.339829336354352973e-01	4.500029412121089756e+00	0.000000000000000000e+00	2.492500000000000000e+02
8.756820803172070677e-01	4.500031085238862083e+00	0.000000000000000000e+00	2.492500000000000000e+02
9.173812269989788382e-01	4.500032764636575422e+00	0.000000000000000000e+00	2.492500000000000000e+02
9.590803736807506086e-01	4.500034450269444264e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.000779520362522268e+00	4.500036140614917635e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.042478667044294038e+00	4.500037835559568045e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.084177813726065809e+00	4.500039533117011992e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.125876960407837579e+00	4.500041231410754961e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.167576107089609350e+00	4.500042923134435213e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.209275253771381120e+00	4.500044589764457648e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.250974400453152890e+00	4.500046195672127602e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.289312000377627498e+00	4.500047618773971081e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.321260000314689709e+00	4.500048787592474397e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.347883333595574884e+00	4.500049758608355432e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.370069444662979086e+00	4.500050567861974216e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.388557870552482587e+00	4.500051243713598659e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.403964892127068875e+00	4.500051808879913295e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.416804076772557375e+00	4.500052282130948988e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.427503397310464495e+00	4.500052678768871495e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.436419497758720354e+00	4.500053011453993612e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.443849581465600274e+00	4.500053290596646605e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.450041317888000281e+00	4.500053524850010866e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.455201098240000324e+00	4.500053721403798335e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.459500915200000248e+00	4.500053886276262460e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.463084096000000223e+00	4.500054024510926176e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.466070080000000164e+00	4.500054140351275045e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.468558400000000264e+00	4.500054237369762511e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.470632000000000161e+00	4.500054318578079027e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.472360000000000113e+00	4.500054386514511506e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.473799999999999999e+00	4.500054443318179942e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.475000000000000089e+00	4.500054490790375006e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.475999999999999979e+00	4.500054530446505829e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.477000000000000091e+00	4.500054570189683467e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.477999999999999980e+00	4.500054610019194712e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.479000000000000092e+00	4.500054649934157602e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.479999999999999982e+00	4.500054689933652874e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.481000000000000094e+00	4.500054730016692872e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.481999999999999984e+00	4.500054770182321917e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.483000000000000096e+00	4.500054810429578112e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.483999999999999986e+00	4.500054850757558178e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.485000000000000098e+00	4.500054891165381044e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.485999999999999988e+00	4.500054931652242907e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.487000000000000099e+00	4.500054972217373717e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.487999999999999989e+00	4.500055012860094017e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.489000000000000101e+00	4.500055053579769648e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.489999999999999991e+00	4.500055094375845499e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.491000000000000103e+00	4.500055135247817972e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.491999999999999993e+00	4.500055176195272288e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.493000000000000105e+00	4.500055217217837189e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.493999999999999995e+00	4.500055258315229345e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.495000000000000107e+00	4.500055299487212501e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.495999999999999996e+00	4.500055340733634779e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.497000000000000108e+00	4.500055382054397590e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.497999999999999998e+00	4.500055423449477843e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.499000000000000110e+00	4.500055464918903958e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.500000000000000000e+00	4.500055506462787847e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.500999999999999890e+00	4.500055548081285828e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.502000000000000002e+00	4.500055589774644815e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.502999999999999892e+00	4.500055631543147250e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.504000000000000004e+00	4.500055673387167054e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.504999999999999893e+00	4.500055715307113680e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.506000000000000005e+00	4.500055757303468518e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.506999999999999895e+00	4.500055799376779575e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.508000000000000007e+00	4.500055841527670353e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.508999999999999897e+00	4.500055883756797215e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.510000000000000009e+00	4.500055926064901790e+00	0.000000000000000000e+00	2.492500000000000000e+02
