xcoord (m)	temperature (K)	B_field (T)
0.000000000000000000e+00	4.500000860169835804e+00	0.000000000000000000e+00
4.169914668177176348e-02	4.500001381015855451e+00	0.000000000000000000e+00
8.339829336354352696e-02	4.500002389975635175e+00	0.000000000000000000e+00
1.250974400453152835e-01	4.500003562656993417e+00	0.000000000000000000e+00
1.667965867270870539e-01	4.500004817792765621e+00	0.000000000000000000e+00
2.084957334088588243e-01	4.500006132946355208e+00	0.000000000000000000e+00
2.501948800906305670e-01	4.500007496839199206e+00	0.000000000000000000e+00
2.918940267724023374e-01	4.500008904169012780e+00	0.000000000000000000e+00
3.335931734541741078e-01	4.500010348627562884e+00	0.000000000000000000e+00
3.752923201359458782e-01	4.500011826920650826e+00	0.000000000000000000e+00
4.169914668177176487e-01	4.500013334046907509e+00	0.000000000000000000e+00
4.586906134994894191e-01	4.500014867681678687e+00	0.000000000000000000e+00
5.003897601812611340e-01	4.500016423716930447e+00	0.000000000000000000e+00
5.420889068630329044e-01	4.500018000548053898e+00	0.000000000000000000e+00
5.837880535448046748e-01	4.500019594762828312e+00	0.000000000000000000e+00
6.254872002265764452e-01	4.500021205310988037e+00	0.000000000000000000e+00
6.671863469083482157e-01	4.500022829329049401e+00	0.000000000000000000e+00
7.088854935901199861e-01	4.500024466194356698e+00	0.000000000000000000e+00
7.505846402718917565e-01	4.500026113478099887e+00	0.000000000000000000e+00
7.922837869536635269e-01	4.500027770883654021e+00	0.000000000000000000e+00
8.339829336354352973e-01	4.500029436326633991e+00	0.000000000000000000e+00
8.756820803172070677e-01	4.500031109756977621e+00	0.000000000000000000e+00
9.173812269989788382e-01	4.500032789357441665e+00	0.000000000000000000e+00
9.590803736807506086e-01	4.500034475242455478e+00	0.000000000000000000e+00
1.000779520362522268e+00	4.500036165740800342e+00	0.000000000000000000e+00
1.042478667044294038e+00	4.500037860895303332e+00	0.000000000000000000e+00
1.084177813726065809e+00	4.500039558582377808e+00	0.000000000000000000e+00
1.125876960407837579e+00	4.500041257096714986e+00	0.000000000000000000e+00
1.167576107089609350e+00	4.500042949063750797e+00	0.000000000000000000e+00
1.209275253771381120e+00	4.500044616331924097e+00	0.000000000000000000e+00
1.250974400453152890e+00	4.500046222251952166e+00	0.000000000000000000e+00
1.289312000377627498e+00	4.500047644846167927e+00	0.000000000000000000e+00
1.321260000314689709e+00	4.500048813432009354e+00	0.000000000000000000e+00
1.347883333595574884e+00	4.500049784364793304e+00	0.000000000000000000e+00
1.370069444662979086e+00	4.500050593488653661e+00	0.000000000000000000e+00
1.388557870552482587e+00	4.500051269265960663e+00	0.000000000000000000e+00
1.403964892127068875e+00	4.500051834294308328e+00	0.000000000000000000e+00
1.416804076772557375e+00	4.500052307444806665e+00	0.000000000000000000e+00
1.427503397310464495e+00	4.500052703929704023e+00	0.000000000000000000e+00
1.436419497758720354e+00	4.500053036493163461e+00	0.000000000000000000e+00
1.443849581465600274e+00	4.500053315480731619e+00	0.000000000000000000e+00
1.450041317888000281e+00	4.500053549607313741e+00	0.000000000000000000e+00
1.455201098240000324e+00	4.500053746018759071e+00	0.000000000000000000e+00
1.459500915200000248e+00	4.500053910774323818e+00	0.000000000000000000e+00
1.463084096000000223e+00	4.500054048889908564e+00	0.000000000000000000e+00
1.466070080000000164e+00	4.500054164634258669e+00	0.000000000000000000e+00
1.468558400000000264e+00	4.500054261564287117e+00	0.000000000000000000e+00
1.470632000000000161e+00	4.500054342705936961e+00	0.000000000000000000e+00
1.472360000000000113e+00	4.500054410589106269e+00	0.000000000000000000e+00
1.473799999999999999e+00	4.500054467359490218e+00	0.000000000000000000e+00
1.475000000000000089e+00	4.500054514813115247e+00	0.000000000000000000e+00
1.475999999999999979e+00	4.500054554465536150e+00	0.000000000000000000e+00
