xcoord (m)	pressure (Pa)	temperature (K)	total_density (kg/m^3)	velocity (m/s)	total_dynamic_viscosity (J/kg)	total_gruneisen (~)	total_enthalpy (m/s)	total_isobaric_specific_heat (J/kg/K)	total_isochoric_specific_heat (J/kg/K)	total_speed_of_sound (W/m/K)	total_thermal_conductivity (Pa*s)	Reynolds (~)	Prandtl (~)	mass_flow_rate (kg/s)
0.000000000000000000e+00	6.000000000000000000e+05	4.500000000000000000e+00	1.396074484572818051e+02	1.196031212693924317e+00	4.026507168672055494e-06	1.432076813157669326e+00	2.846132373228988399e+03	3.614772754663900287e+03	2.330216258124484739e+03	2.460577775192014087e+02	2.208956746993476911e-02	3.318430346852250514e+05	6.589041831436823760e-01	8.392991633431422585e-03
5.000000000000000278e-02	5.999500733846543590e+05	4.500061057317970459e+00	1.396054251463295657e+02	1.196036653573754327e+00	4.026424991693517356e-06	1.432066582978085201e+00	2.845916604275384998e+03	3.614862754694992873e+03	2.330227310724708786e+03	2.460522430540117682e+02	2.208931643416535071e-02	3.318498074074279284e+05	6.589146287267605429e-01	8.392908175098743803e-03
1.000000000000000056e-01	5.999001449446941260e+05	4.500122131338047282e+00	1.396034013343972049e+02	1.196047875455809040e+00	4.026342814714980065e-06	1.432056352798501075e+00	2.845700835321782051e+03	3.614952754726085914e+03	2.330238363324932379e+03	2.460467085888220993e+02	2.208906539839593577e-02	3.318565804060908849e+05	6.589250738776145644e-01	8.392865251787210226e-03
1.500000000000000222e-01	5.998502160707992734e+05	4.500183130814749966e+00	1.396013781530322433e+02	1.196062051922594405e+00	4.026260637736441927e-06	1.432046122618916950e+00	2.845485066368179105e+03	3.615042754757178500e+03	2.330249415925155517e+03	2.460411741236324303e+02	2.208881436262651390e-02	3.318633536812312086e+05	6.589355185962293415e-01	8.392843096610197798e-03
2.000000000000000111e-01	5.998002857757271267e+05	4.500244127977255815e+00	1.395993547096629186e+02	1.196077705348225662e+00	4.026178460757903790e-06	1.432035892439333047e+00	2.845269297414576158e+03	3.615132754788271086e+03	2.330260468525379565e+03	2.460356396584427898e+02	2.208856332685709550e-02	3.318701272328655468e+05	6.589459628825903303e-01	8.392831286561376961e-03
2.500000000000000000e-01	5.997503552668389166e+05	4.500305200734851852e+00	1.395973300996234343e+02	1.196094131430513796e+00	4.026096283779365652e-06	1.432025662259748700e+00	2.845053528460973212e+03	3.615222754819364127e+03	2.330271521125602703e+03	2.460301051932530925e+02	2.208831229108767710e-02	3.318769010610108962e+05	6.589564067366828759e-01	8.392824824809706763e-03
3.000000000000000444e-01	5.997004234321620315e+05	4.500366082202315710e+00	1.395953075002114190e+02	1.196110921150449480e+00	4.026014106800828361e-06	1.432015432080164796e+00	2.844837759507369810e+03	3.615312754850456713e+03	2.330282573725826296e+03	2.460245707280634235e+02	2.208806125531826217e-02	3.318836751656841370e+05	6.589668501584921012e-01	8.392821032156131886e-03
3.500000000000000333e-01	5.996504914519161684e+05	4.500426986923712569e+00	1.395932843650197128e+02	1.196127930425054497e+00	4.025931929822290223e-06	1.432005201900580449e+00	2.844621990553766864e+03	3.615402754881549754e+03	2.330293626326049889e+03	2.460190362628737830e+02	2.208781021954884030e-02	3.318904495469023823e+05	6.589772931480034623e-01	8.392818744415480453e-03
4.000000000000000222e-01	5.996005581562030129e+05	4.500487960626053940e+00	1.395912601140599349e+02	1.196145014341385648e+00	4.025849752843752085e-06	1.431994971720996546e+00	2.844406221600163917e+03	3.615492754912642340e+03	2.330304678926273482e+03	2.460135017976841141e+02	2.208755918377942190e-02	3.318972242046825122e+05	6.589877357052018603e-01	8.392816909858448124e-03
4.500000000000000111e-01	5.995506247432292439e+05	4.500548973023714261e+00	1.395892561746528600e+02	1.196162179123147817e+00	4.025767145267030732e-06	1.431984858059733856e+00	2.844181509522125452e+03	3.615579971461652349e+03	2.330316395138241205e+03	2.460079950455267124e+02	2.208731739249377921e-02	3.319040346396685927e+05	6.589973241903250845e-01	8.392816860447337504e-03
