xcoord (m)	temperature (K)
0.000000000000000000e+00	1.327552662113103850e+02
5.000000000000000000e-01	1.326701555651763442e+02
1.000000000000000000e+00	1.325048183272694757e+02
1.500000000000000000e+00	1.323397934693988987e+02
2.000000000000000000e+00	1.321743752683585740e+02
2.500000000000000000e+00	1.320092957926441670e+02
3.000000000000000000e+00	1.318438685940916173e+02
3.500000000000000000e+00	1.316787292607406812e+02
4.000000000000000000e+00	1.315132930124030963e+02
4.500000000000000000e+00	1.313480986238156731e+02
5.000000000000000000e+00	1.311826511311780905e+02
5.500000000000000000e+00	1.310174065932819190e+02
6.000000000000000000e+00	1.308519460802352228e+02
6.500000000000000000e+00	1.306866557993772631e+02
7.000000000000000000e+00	1.305211809981279600e+02
7.500000000000000000e+00	1.303558489219596765e+02
8.000000000000000000e+00	1.301903590034036426e+02
8.500000000000000000e+00	1.300249886935562245e+02
9.000000000000000000e+00	1.298594831988970384e+02
9.500000000000000000e+00	1.296940778944904480e+02
1.000000000000000000e+01	1.295285566773702897e+02
1.050000000000000000e+01	1.293631193483635684e+02
1.100000000000000000e+01	1.291975825264343598e+02
1.150000000000000000e+01	1.290321159183255020e+02
1.200000000000000000e+01	1.288665638327330214e+02
1.250000000000000000e+01	1.287010705040330549e+02
1.300000000000000000e+01	1.285355036855201831e+02
1.350000000000000000e+01	1.283699860391902803e+02
1.400000000000000000e+01	1.282044051797201689e+02
1.450000000000000000e+01	1.280388654895706679e+02
1.500000000000000000e+01	1.278732714185684500e+02
1.550000000000000000e+01	1.277077118514456657e+02
1.600000000000000000e+01	1.275421055159006016e+02
1.650000000000000000e+01	1.273765281503508220e+02
1.700000000000000000e+01	1.272109105981494395e+02
1.750000000000000000e+01	1.270453174401381631e+02
1.800000000000000000e+01	1.268796898061031442e+02
1.850000000000000000e+01	1.267140828022657217e+02
1.900000000000000000e+01	1.265484462964636094e+02
1.950000000000000000e+01	1.263828273452932791e+02
2.000000000000000000e+01	1.262171832432398730e+02
2.050000000000000000e+01	1.260515542045434927e+02
2.100000000000000000e+01	1.258859038390074403e+02
2.150000000000000000e+01	1.257202665419125935e+02
2.200000000000000000e+01	1.255546112960568479e+02
2.250000000000000000e+01	1.253889675458005684e+02
2.300000000000000000e+01	1.252233088474495020e+02
2.350000000000000000e+01	1.250576604311496709e+02
2.400000000000000000e+01	1.248919997480017088e+02
2.450000000000000000e+01	1.247263484395708701e+02
2.500000000000000000e+01	1.245606872752081813e+02
2.550000000000000000e+01	1.243950348395488419e+02
2.600000000000000000e+01	1.242293747301172857e+02
2.650000000000000000e+01	1.240637229267152577e+02
2.700000000000000000e+01	1.238980654381697946e+02
2.750000000000000000e+01	1.237324160241809636e+02
2.800000000000000000e+01	1.235667627500058643e+02
2.850000000000000000e+01	1.234011174829187780e+02
2.900000000000000000e+01	1.232354700422536524e+02
2.950000000000000000e+01	1.230698306821946488e+02
3.000000000000000000e+01	1.229041907182968600e+02
3.050000000000000000e+01	1.227385590300384592e+02
3.100000000000000000e+01	1.225729282090354104e+02
3.150000000000000000e+01	1.224073059637511705e+02
3.200000000000000000e+01	1.222416859736352990e+02
3.250000000000000000e+01	1.220760749504482590e+02
3.300000000000000000e+01	1.219104675002788554e+02
3.350000000000000000e+01	1.217448694876329540e+02
3.400000000000000000e+01	1.215792763069112965e+02
