xcoord (m)	temperature (K)
0.000000000000000000e+00	2.716961765518973380e+02
5.000000000000000000e-01	2.716931147512004827e+02
1.000000000000000000e+00	2.716870790852875643e+02
1.500000000000000000e+00	2.716810113798171642e+02
2.000000000000000000e+00	2.716749681649101831e+02
2.500000000000000000e+00	2.716689543399343734e+02
3.000000000000000000e+00	2.716629525075780975e+02
3.500000000000000000e+00	2.716569815084040442e+02
4.000000000000000000e+00	2.716510233282923537e+02
4.500000000000000000e+00	2.716450945657446141e+02
5.000000000000000000e+00	2.716391799058845322e+02
5.500000000000000000e+00	2.716332933271662569e+02
6.000000000000000000e+00	2.716274219465003057e+02
6.500000000000000000e+00	2.716215775082535515e+02
7.000000000000000000e+00	2.716157491757311391e+02
7.500000000000000000e+00	2.716099468189944446e+02
8.000000000000000000e+00	2.716041613171499876e+02
8.500000000000000000e+00	2.715984009685759588e+02
9.000000000000000000e+00	2.715926580914112947e+02
9.500000000000000000e+00	2.715869396654629782e+02
1.000000000000000000e+01	2.715812392164177140e+02
1.050000000000000000e+01	2.715755626172516486e+02
1.100000000000000000e+01	2.715699044075063853e+02
1.150000000000000000e+01	2.715642695305511438e+02
1.200000000000000000e+01	2.715586533776149167e+02
1.250000000000000000e+01	2.715530601108802102e+02
1.300000000000000000e+01	2.715474858374184350e+02
1.350000000000000000e+01	2.715419340625923041e+02
1.400000000000000000e+01	2.715364014954538447e+02
1.450000000000000000e+01	2.715308910888142009e+02
1.500000000000000000e+01	2.715254000582219760e+02
1.550000000000000000e+01	2.715199308914022254e+02
1.600000000000000000e+01	2.715144812302820014e+02
1.650000000000000000e+01	2.715090531709083166e+02
1.700000000000000000e+01	2.715036447143270948e+02
1.750000000000000000e+01	2.714982576265564944e+02
1.800000000000000000e+01	2.714928902112612832e+02
1.850000000000000000e+01	2.714875439562318888e+02
1.900000000000000000e+01	2.714822174202612359e+02
1.950000000000000000e+01	2.714769118564634027e+02
2.000000000000000000e+01	2.714716260388325964e+02
2.050000000000000000e+01	2.714663610224345689e+02
2.100000000000000000e+01	2.714611157628631304e+02
2.150000000000000000e+01	2.714558911479732615e+02
2.200000000000000000e+01	2.714506862866756478e+02
2.250000000000000000e+01	2.714455019255705110e+02
2.300000000000000000e+01	2.714403373030646094e+02
2.350000000000000000e+01	2.714351930463761278e+02
2.400000000000000000e+01	2.714300685033408627e+02
2.450000000000000000e+01	2.714249642002297946e+02
2.500000000000000000e+01	2.714198795773718871e+02
2.550000000000000000e+01	2.714148150756549853e+02
2.600000000000000000e+01	2.714097702136177190e+02
2.650000000000000000e+01	2.714047453598946618e+02
2.700000000000000000e+01	2.713997400991664222e+02
2.750000000000000000e+01	2.713947547389140595e+02
2.800000000000000000e+01	2.713897889197697850e+02
2.850000000000000000e+01	2.713848428974295643e+02
2.900000000000000000e+01	2.713799163598665700e+02
2.950000000000000000e+01	2.713750095189300851e+02
3.000000000000000000e+01	2.713701221026312282e+02
3.050000000000000000e+01	2.713652542856897867e+02
3.100000000000000000e+01	2.713604058299850408e+02
3.150000000000000000e+01	2.713555768788008891e+02
3.200000000000000000e+01	2.713507672226407408e+02
3.250000000000000000e+01	2.713459769781885029e+02
3.300000000000000000e+01	2.713412059601240571e+02
3.350000000000000000e+01	2.713364542626384264e+02
3.400000000000000000e+01	2.713317217208019656e+02
3.450000000000000000e+01	2.713270084098210191e+02
3.500000000000000000e+01	2.713223141819206035e+02
3.550000000000000000e+01	2.713176390963104723e+02
3.600000000000000000e+01	2.713129830196201624e+02
3.650000000000000000e+01	2.713083459976198242e+02
3.700000000000000000e+01	2.713037279089683693e+02
3.750000000000000000e+01	2.712991287882114761e+02
3.800000000000000000e+01	2.712945485239906702e+02
3.850000000000000000e+01	2.712899871415335156e+02
3.900000000000000000e+01	2.712854445376950139e+02
3.950000000000000000e+01	2.712809207300381331e+02
4.000000000000000000e+01	2.712764156220934524e+02
4.050000000000000000e+01	2.712719292252126024e+02
4.100000000000000000e+01	2.712674614482348829e+02
4.150000000000000000e+01	2.712630122975991185e+02
