xcoord (m)	pressure (Pa)	temperature (K)	total_density (kg/m^3)	velocity (m/s)	isobaric_expansion_coefficient (1/K)	isothermal_compressibility (1/Pa)	Prandtl (~)	total_dynamic_viscosity (Pa*s)	total_enthalpy (J/kg)	total_isobaric_specific_heat (J/kg/K)	total_isochoric_specific_heat (J/kg/K)	total_speed_of_sound (m/s)	total_thermal_conductivity (W/m/K)	Reynolds (~)	Gruneisen (~)	mass_flow_rate (kg/s)
0.000000000000000000e+00	2.601157410804845276e+05	1.327734821657276427e+02	6.749870684430807621e+00	-9.819921097583574010e+00	1.171571977555220349e-02	4.069311301400436059e-06	8.336581149893267373e-01	7.051375590296015693e-06	9.904494855608248326e+04	1.132866641160697782e+03	7.682470701760208840e+02	1.979201221997774951e+02	9.582187274268245958e-03	4.145650758999204263e+05	4.051073172182692028e-01	-2.248935909639633857e-01
5.000000000000000000e-01	2.604138491364102229e+05	1.326882382874298685e+02	6.762429618051728042e+00	-9.796474010600807247e+00	1.171728022488220319e-02	4.066395506873433422e-06	8.337106997900405325e-01	7.051496922704743069e-06	9.904124974559912516e+04	1.132952031891009028e+03	7.682697625273059430e+02	1.979153136463685314e+02	9.582469996442969512e-03	4.145579426373261958e+05	4.051110521283137200e-01	-2.247740531709101763e-01
1.000000000000000000e+00	2.607080343859769637e+05	1.325227630821137552e+02	6.779293347357194577e+00	-9.771191129393224983e+00	1.171884112440825347e-02	4.063484229937600677e-06	8.337632959080373274e-01	7.051618268717768255e-06	9.903755057305833907e+04	1.133037447136371838e+03	7.682924595722369077e+02	1.979105046301164066e+02	9.582752803560015339e-03	4.145508088204361848e+05	4.051147866138087306e-01	-2.247530340904449753e-01
1.500000000000000000e+00	2.610043304848343832e+05	1.323576685668686821e+02	6.796240787286666141e+00	-9.747746887028895912e+00	1.172040247434099486e-02	4.060577460250497824e-06	8.338159033489745964e-01	7.051739628338834289e-06	9.903385103836080816e+04	1.133122886908446389e+03	7.683151613127671453e+02	1.979056951508874249e+02	9.583035695645347046e-03	4.145436744491005084e+05	4.051185206744749578e-01	-2.247742872010037030e-01
2.000000000000000000e+00	2.612972722383432556e+05	1.321921606975689656e+02	6.813170163089613318e+00	-9.722761517109271168e+00	1.172196427489120146e-02	4.057675187501319851e-06	8.338685221185163643e-01	7.051861001571685904e-06	9.903015114140728838e+04	1.133208351218901726e+03	7.683378677508520695e+02	1.979008852085477770e+02	9.583318672724935178e-03	4.145365395231688162e+05	4.051222543100334028e-01	-2.247566226189812999e-01
2.500000000000000000e+00	2.615918993132162141e+05	1.320269992574850448e+02	6.830174149462127531e+00	-9.699342167753910005e+00	1.172352652626981913e-02	4.054777401410775607e-06	8.339211522223303197e-01	7.051982388420068680e-06	9.902645088209836103e+04	1.133293840079416668e+03	7.683605788884490266e+02	1.978960748029635397e+02	9.583601734824771096e-03	4.145294040424911072e+05	4.051259875202048444e-01	-2.247748340148870427e-01
3.000000000000000000e+00	2.618835724936862825e+05	1.318614865127429141e+02	6.847167615669273566e+00	-9.674629915368401001e+00	1.172508922868791340e-02	4.051884091730967523e-06	8.339737936660889250e-01	7.052103788887730737e-06	9.902275026033460745e+04	1.133379353501678452e+03	7.683832947275172955e+02	1.978912639340007615e+02	9.583884881970858305e-03	4.145222680069170310e+05	4.051297203047091178e-01	-2.247599611807046260e-01
3.500000000000000000e+00	2.621765715985105489e+05	1.316962646520281623e+02	6.864229507534441055e+00	-9.651253701288146303e+00	1.172665238235671807e-02	4.048995248245278110e-06	8.340264464554701940e-01	7.052225202978421891e-06	9.901904927601655072e+04	1.133464891497383633e+03	7.684060152700183153e+02	1.978864526015254341e+02	9.584168114189208984e-03	4.145151314162958879e+05	4.051334526632663358e-01	-2.247755950472051512e-01
4.000000000000000000e+00	2.624669563728732173e+05	1.315307438311101293e+02	6.881287345991633941e+00	-9.626793762053814874e+00	1.172821598748760401e-02	4.046110860768242056e-06	8.340791105961553598e-01	7.052346630695892803e-06	9.901534792904462665e+04	1.133550454078237181e+03	7.684287405179152302e+02	1.978816408054033786e+02	9.584451431505859598e-03	4.145079942704775021e+05	4.051371845955957229e-01	-2.247630875773870274e-01
4.500000000000000000e+00	2.627583634702201234e+05	1.313654672124239653e+02	6.898408423090161001e+00	-9.603475715617353359e+00	1.172978004429208951e-02	4.043230919145429337e-06	8.341317860938315398e-01	7.052468072043898370e-06	9.901164621931932925e+04	1.133636041255953614e+03	7.684514704731728898e+02	1.978768285455004730e+02	9.584734833946853549e-03	4.145008565693111741e+05	4.051409161014167815e-01	-2.247765359937617946e-01
