xcoord (m)	pressure (Pa)	temperature (K)	total_density (kg/m^3)	velocity (m/s)	isobaric_expansion_coefficient (1/K)	isothermal_compressibility (1/Pa)	Prandtl (~)	total_dynamic_viscosity (Pa*s)	total_enthalpy (J/kg)	total_isobaric_specific_heat (J/kg/K)	total_isochoric_specific_heat (J/kg/K)	total_speed_of_sound (m/s)	total_thermal_conductivity (W/m/K)	Reynolds (~)	Gruneisen (~)	mass_flow_rate (kg/s)
5.000000000000000000e+00	2.630474444269113592e+05	1.311999358694298792e+02	6.915531000758019964e+00	-9.579250300789789563e+00	1.173134455298184380e-02	4.040355413253333406e-06	8.341844729541899595e-01	7.052589527026192643e-06	9.900794414674093423e+04	1.133721653042255866e+03	7.684742051377584175e+02	1.978720158216824245e+02	9.585018321538246386e-03	4.144937183126463788e+05	4.051446471804484029e-01	-2.247660337239824890e-01
5.500000000000000000e+00	2.633372911803038442e+05	1.310346094849859071e+02	6.932712475214715120e+00	-9.556002769682823583e+00	1.173290951376868181e-02	4.037484332999248379e-06	8.342371711829267289e-01	7.052710995646531365e-06	9.900424171120981919e+04	1.133807289448877100e+03	7.684969445136410968e+02	1.978672026338149408e+02	9.585301894306117940e-03	4.144865795003324165e+05	4.051483778324086460e-01	-2.247776279949399159e-01
6.000000000000000000e+00	2.636250566086047911e+05	1.308690658016230373e+02	6.949900232169565761e+00	-9.531996623573167682e+00	1.173447492686456595e-02	4.034617668321152135e-06	8.342898807857425103e-01	7.052832477908674516e-06	9.900053891262621619e+04	1.133892950487558210e+03	7.685196886027916889e+02	1.978623889817635302e+02	9.585585552276554983e-03	4.144794401322184131e+05	4.051521080570156252e-01	-2.247688265317561440e-01
6.500000000000000000e+00	2.639133710469480720e+05	1.307036940851562292e+02	6.967143260040366215e+00	-9.508829710204011576e+00	1.173604079248160952e-02	4.031755409187590284e-06	8.343426017683430729e-01	7.052953973816381228e-06	9.899683575089032820e+04	1.133978636170049640e+03	7.685424374071831153e+02	1.978575748653938149e+02	9.585869295475654694e-03	4.144723002081537270e+05	4.051558378539877880e-01	-2.247788467717045102e-01
7.000000000000000000e+00	2.641998123330988456e+05	1.305381367700091459e+02	6.984396699116073748e+00	-9.485029706648507641e+00	1.173760711083206808e-02	4.028897545597562653e-06	8.343953341364386267e-01	7.053075483373414021e-06	9.899313222590232908e+04	1.134064346508111385e+03	7.685651909287903436e+02	1.978527602845711897e+02	9.586153123929538541e-03	4.144651597279874841e+05	4.051595672230419165e-01	-2.247714887081876112e-01
7.500000000000000000e+00	2.644866194082458387e+05	1.303727236888574055e+02	7.001702390200010839e+00	-9.461951635284171047e+00	1.173917388212836026e-02	4.026044067580403864e-06	8.344480778957433786e-01	7.053197006583535416e-06	9.898942833756224718e+04	1.134150081513511168e+03	7.685879491695897059e+02	1.978479452391610494e+02	9.586437037664336663e-03	4.144580186915685772e+05	4.051632961638957364e-01	-2.247801718915874991e-01
8.000000000000000000e+00	2.647717305291571538e+05	1.302071518936668042e+02	7.019022068283010896e+00	-9.438346440177081575e+00	1.174074110658302958e-02	4.023194965195675755e-06	8.345008330519776418e-01	7.053318543450512168e-06	9.898572408577024180e+04	1.134235841198027174e+03	7.686107121315603763e+02	1.978431297290287318e+02	9.586721036706191343e-03	4.144508770987459575e+05	4.051670246762656413e-01	-2.247740394293885891e-01
8.500000000000000000e+00	2.650570525841213530e+05	1.300417010256390995e+02	7.036391494406418090e+00	-9.415363863816676115e+00	1.174230878440878610e-02	4.020350228533040326e-06	8.345535996108651711e-01	7.053440093978110186e-06	9.898201947042621032e+04	1.134321625573445999e+03	7.686334798166827795e+02	1.978383137540393761e+02	9.587005121081265679e-03	4.144437349493687507e+05	4.051707527598680803e-01	-2.247815861535525928e-01
9.000000000000000000e+00	2.653408296826948063e+05	1.298761142754118509e+02	7.053778015134962942e+00	-9.391943652711530532e+00	1.174387691581848733e-02	4.017509847712160640e-06	8.346063775781356053e-01	7.053561658170098765e-06	9.897831449143013742e+04	1.134407434651563563e+03	7.686562522269398414e+02	1.978334973140581781e+02	9.587289290815731446e-03	4.144365922432855004e+05	4.051744804144192802e-01	-2.247764949032142745e-01
9.500000000000000000e+00	2.656246868451091577e+05	1.297106288730638823e+02	7.071212217150721457e+00	-9.369061909730040938e+00	1.174544550102512783e-02	4.014673812882572915e-06	8.346591669595225804e-01	7.053683236030248051e-06	9.897460914868189138e+04	1.134493268444184650e+03	7.686790293643160794e+02	1.978286804089502198e+02	9.587573545935774294e-03	4.144294489803452161e+05	4.051782076396348575e-01	-2.247830750728157523e-01
1.000000000000000000e+01	2.659071278738428373e+05	1.295450270076620711e+02	7.088666224794657467e+00	-9.345818131362703340e+00	1.174701454024186693e-02	4.011842114223589119e-06	8.347119677607642840e-01	7.053804827562330728e-06	9.897090344208132592e+04	1.134579126963123372e+03	7.687018112307979436e+02	1.978238630385805266e+02	9.587857886467600690e-03	4.144223051603965578e+05	4.051819344352306507e-01	-2.247788688411052338e-01
1.050000000000000000e+01	2.661895383868376375e+05	1.293795100520993060e+02	7.106166218502561804e+00	-9.323041460258744806e+00	1.174858403368199584e-02	4.009014741944171608e-06	8.347647799876038999e-01	7.053926432770121173e-06	9.896719737152822199e+04	1.134665010220202021e+03	7.687245978283739305e+02	1.978190452028139816e+02	9.588142312437424042e-03	4.144151607832879527e+05	4.051856608009212213e-01	-2.247846264490926949e-01
1.100000000000000000e+01	2.664706428085988737e+05	1.292138931774114212e+02	7.123688392833306793e+00	-9.299966638390067430e+00	1.175015398155897055e-02	4.006191686282828943e-06	8.348176036457898297e-01	7.054048051657394614e-06	9.896349093692228780e+04	1.134750918227253806e+03	7.687473891590345829e+02	1.978142269015155250e+02	9.588426823871478571e-03	4.144080158488680609e+05	4.051893867364214641e-01	-2.247811728535961950e-01
1.150000000000000000e+01	2.667516233092564507e+05	1.290483474233531638e+02	7.141255173995364913e+00	-9.277298357571559961e+00	1.175172438408638928e-02	4.003372937507503232e-06	8.348704387410745831e-01	7.054169684227929665e-06	9.895978413816321699e+04	1.134836850996119438e+03	7.687701852247723764e+02	1.978094081345498410e+02	9.588711420796005441e-03	4.144008703569853096e+05	4.051931122414457187e-01	-2.247862300045857797e-01
1.200000000000000000e+01	2.670313918459427659e+05	1.288827158704508804e+02	7.158846225988135359e+00	-9.254385924825514920e+00	1.175329524147799426e-02	4.000558485915451545e-06	8.349232852792155546e-01	7.054291330485504091e-06	9.895607697515060136e+04	1.134922808538649406e+03	7.687929860275814917e+02	1.978045889017816990e+02	9.588996103237266630e-03	4.143937243074882426e+05	4.051968373157082692e-01	-2.247834167821093077e-01
1.250000000000000000e+01	2.673109575998140499e+05	1.287171438840071573e+02	7.176480774583796851e+00	-9.231828583199364502e+00	1.175486655394769771e-02	3.997748321833151895e-06	8.349761432659750238e-01	7.054412990433899896e-06	9.895236944778404722e+04	1.135008790866703521e+03	7.688157915694586109e+02	1.977997692030757264e+02	9.589280871221536259e-03	4.143865777002249961e+05	4.052005619589227337e-01	-2.247878770802491655e-01
1.300000000000000000e+01	2.675893920211539953e+05	1.285514981749697085e+02	7.194141442819294241e+00	-9.209072741631576520e+00	1.175643832170952807e-02	3.994942435616177032e-06	8.350290127071196000e-01	7.054534664076899082e-06	9.894866155596305907e+04	1.135094797992150234e+03	7.688386018524017800e+02	1.977949490382964655e+02	9.589565724775105798e-03	4.143794305350441718e+05	4.052042861708022303e-01	-2.247856089773988819e-01
1.350000000000000000e+01	2.678675571199188707e+05	1.283859023653344593e+02	7.211844726662098637e+00	-9.186628244800717269e+00	1.175801054497768901e-02	3.992140817649094488e-06	8.350818936084215549e-01	7.054656351418287885e-06	9.894495329958708317e+04	1.135180829926867546e+03	7.688614168784112053e+02	1.977901284073084014e+02	9.589850663924271920e-03	4.143722828117934987e+05	4.052080099510598221e-01	-2.247895603808000298e-01
1.400000000000000000e+01	2.681446600659356336e+05	1.282202431846433797e+02	7.229575774316487902e+00	-9.164023848815766371e+00	1.175958322396654029e-02	3.989343458345357313e-06	8.351347859756571568e-01	7.054778052461850849e-06	9.894124467855553667e+04	1.135266886682742552e+03	7.688842366494895941e+02	1.977853073099760195e+02	9.590135688695355584e-03	4.143651345303214621e+05	4.052117332994084054e-01	-2.247877565334418515e-01
1.450000000000000000e+01	2.684214375941371545e+05	1.280546258307042251e+02	7.247348752134177730e+00	-9.141693564882732659e+00	1.176115635889056661e-02	3.986550348147189727e-06	8.351876898146074479e-01	7.054899767211376752e-06	9.893753569276779308e+04	1.135352968271671216e+03	7.689070611676409044e+02	1.977804857461635493e+02	9.590420799114689893e-03	4.143579856904760818e+05	4.052154562155602102e-01	-2.247912737605611555e-01
1.500000000000000000e+01	2.686972124258573749e+05	1.278889540012898749e+02	7.265150964464438310e+00	-9.119236022844413370e+00	1.176272994996441397e-02	3.983761477525488014e-06	8.352406051310586887e-01	7.055021495670655220e-06	9.893382634212313860e+04	1.135439074705559051e+03	7.689298904348712540e+02	1.977756637157353339e+02	9.590705995208618356e-03	4.143508362921050866e+05	4.052191786992270783e-01	-2.247898654839654287e-01
1.550000000000000000e+01	2.689726146016634302e+05	1.277233172739951073e+02	7.282994588527564872e+00	-9.097020871154777311e+00	1.176430399740289144e-02	3.980976836979705326e-06	8.352935319308012474e-01	7.055143237843478420e-06	9.893011662652078667e+04	1.135525205996320437e+03	7.689527244531888073e+02	1.977708412185555460e+02	9.590991277003503568e-03	4.143436863350567874e+05	4.052229007501209068e-01	-2.247930120434118717e-01
1.600000000000000000e+01	2.692470652755426127e+05	1.275576337371781221e+02	7.300868770773923266e+00	-9.074706062646281879e+00	1.176587850142093300e-02	3.978196417037748348e-06	8.353464702196318203e-01	7.055264993733639364e-06	9.892640654585997981e+04	1.135611362155879760e+03	7.689755632246040022e+02	1.977660182544882730e+02	9.591276644525718528e-03	4.143365358191785635e+05	4.052266223679523716e-01	-2.247919409677099634e-01
1.650000000000000000e+01	2.695211035696830950e+05	1.273919797183499441e+02	7.318783989144940882e+00	-9.052606588253976128e+00	1.176745346223364783e-02	3.975420208255871414e-06	8.353994200033491024e-01	7.055386763344932760e-06	9.892269610003985872e+04	1.135697543196168908e+03	7.689984067511287549e+02	1.977611948233975738e+02	9.591562097801655321e-03	4.143293847443184932e+05	4.052303435524330921e-01	-2.247947708714183035e-01
1.700000000000000000e+01	2.697942345319512533e+05	1.272262855170384341e+02	7.336730964785057374e+00	-9.030430794443814690e+00	1.176902888005628735e-02	3.972648201218571479e-06	8.354523812877596711e-01	7.055508546681155857e-06	9.891898528895949130e+04	1.135783749129131138e+03	7.690212550347770275e+02	1.977563709251474222e+02	9.591847636857718171e-03	4.143222331103241304e+05	4.052340643032735223e-01	-2.247939873674703881e-01
1.750000000000000000e+01	2.700669197683077655e+05	1.270606162152184737e+02	7.354718723247803958e+00	-9.008447230617885992e+00	1.177060475510424524e-02	3.969880386538478003e-06	8.355053540786725463e-01	7.055630343746107599e-06	9.891527411251790181e+04	1.135869979966716983e+03	7.690441080775651699e+02	1.977515465596017066e+02	9.592133261720323448e-03	4.143150809170433204e+05	4.052377846201836720e-01	-2.247965465774219018e-01
1.800000000000000000e+01	2.703387358660591999e+05	1.268949124798349004e+02	7.372739332547597613e+00	-8.986407075611440476e+00	1.177218108759307477e-02	3.967116754856255543e-06	8.355583383819028542e-01	7.055752154543587774e-06	9.891156257061409997e+04	1.135956235720887435e+03	7.690669658815110097e+02	1.977467217266242585e+02	9.592418972415906603e-03	4.143079281643233844e+05	4.052415045028737173e-01	-2.247960084271482806e-01
1.850000000000000000e+01	2.706100783068165183e+05	1.267292298436397573e+02	7.390800576267939626e+00	-8.964539396323583986e+00	1.177375787773848187e-02	3.964357296840491943e-06	8.356113342032697178e-01	7.055873979077398713e-06	9.890785066314700816e+04	1.136042516403612126e+03	7.690898284486347620e+02	1.977418964260787675e+02	9.592704768970915230e-03	4.143007748520118184e+05	4.052452239510526133e-01	-2.247983360778028350e-01
1.900000000000000000e+01	2.708805847131780465e+05	1.265635177803292493e+02	7.408895675083159382e+00	-8.942631797727040421e+00	1.177533512575631817e-02	3.961602003187594999e-06	8.356643415485981441e-01	7.055995817351344442e-06	9.890413839001543238e+04	1.136128822026870466e+03	7.691126957809583473e+02	1.977370706578289230e+02	9.592990651411809067e-03	4.142936209799561766e+05	4.052489429644304253e-01	-2.247980073503858256e-01
1.950000000000000000e+01	2.711505941309813061e+05	1.263978237097284563e+02	7.427031350042916813e+00	-8.920879761737074531e+00	1.177691283186258972e-02	3.958850864621696740e-06	8.357173604237169151e-01	7.056117669369230679e-06	9.890042575111829501e+04	1.136215152602650733e+03	7.691355678805059597e+02	1.977322444217383293e+02	9.593276619765068666e-03	4.142864665480037802e+05	4.052526615427152201e-01	-2.248001367821142460e-01
2.000000000000000000e+01	2.714197962821260444e+05	1.262321045904889871e+02	7.445201808832143442e+00	-8.899101888952259287e+00	1.177849099627345693e-02	3.956103871894539930e-06	8.357703908344596977e-01	7.056239535134864838e-06	9.889671274635430018e+04	1.136301508142950070e+03	7.691584447493031576e+02	1.977274177176705336e+02	9.593562674057183257e-03	4.142793115560019505e+05	4.052563796856162859e-01	-2.247999868836666748e-01
2.050000000000000000e+01	2.716884820212909253e+05	1.260664009463352926e+02	7.463412863072371728e+00	-8.877465076846586811e+00	1.178006961920522074e-02	3.953361015785384044e-06	8.358234327866654878e-01	7.056361414652056026e-06	9.889299937562218111e+04	1.136387888659775626e+03	7.691813263893784551e+02	1.977225905454889414e+02	9.593848814314657678e-03	4.142721560037976014e+05	4.052600973928409678e-01	-2.248019465169141529e-01
2.100000000000000000e+01	2.719563855634222855e+05	1.259006761007512978e+02	7.481659566089374991e+00	-8.855814315857548635e+00	1.178164870087435034e-02	3.950622287100898544e-06	8.358764862861776113e-01	7.056483307924615044e-06	9.888928563882056915e+04	1.136474294165143647e+03	7.692042128027617309e+02	1.977177629050569010e+02	9.594135040564015851e-03	4.142649998912381125e+05	4.052638146640974992e-01	-2.248019493864229779e-01
2.150000000000000000e+01	2.722237565919191693e+05	1.257349647128502710e+02	7.499946950792880429e+00	-8.834292161172930591e+00	1.178322824149745547e-02	3.947887676675058693e-06	8.359295513388450560e-01	7.056605214956355234e-06	9.888557153584809566e+04	1.136560724671079470e+03	7.692271039914845687e+02	1.977129347962377324e+02	9.594421352831792107e-03	4.142578432181705139e+05	4.052675314990935029e-01	-2.248037634615397407e-01
2.200000000000000000e+01	2.724903673366500880e+05	1.255692355211773048e+02	7.518270795430564313e+00	-8.812766084788000498e+00	1.178480824129129849e-02	3.945157175369052381e-06	8.359826279505202518e-01	7.056727135751090786e-06	9.888185706660331925e+04	1.136647180189617529e+03	7.692499999575811671e+02	1.977081062188946419e+02	9.594707751144534655e-03	4.142506859844417195e+05	4.052712478975358801e-01	-2.248038968902256463e-01
2.250000000000000000e+01	2.727564322903076536e+05	1.254035181951304736e+02	7.536635465869085060e+00	-8.791357900166437034e+00	1.178638870047279963e-02	3.942430774071170012e-06	8.360357161270618453e-01	7.056849070312637583e-06	9.887814223098469665e+04	1.136733660732802264e+03	7.692729007030876573e+02	1.977032771728908074e+02	9.594994235528807314e-03	4.142435281898989342e+05	4.052749638591311987e-01	-2.248055860938888428e-01
2.300000000000000000e+01	2.730217561771133333e+05	1.252377860825174309e+02	7.555037362131757916e+00	-8.769954242846631942e+00	1.178796961925902657e-02	3.939708463696713870e-06	8.360888158743324805e-01	7.056971018644814897e-06	9.887442702889067004e+04	1.136820166312686524e+03	7.692958062300417623e+02	1.976984476580892363e+02	9.595280806011191252e-03	4.142363698343883734e+05	4.052786793835862489e-01	-2.248058311487264316e-01
2.350000000000000000e+01	2.732865233972553397e+05	1.250720646055375198e+02	7.573480278499053142e+00	-8.748659242017714277e+00	1.178955099786720487e-02	3.936990235187889699e-06	8.361419271981999080e-01	7.057092980751441998e-06	9.887071146021966706e+04	1.136906696941333166e+03	7.693187165404833650e+02	1.976936176743529927e+02	9.595567462618279780e-03	4.142292109177573584e+05	4.052823944706069881e-01	-2.248074131446563262e-01
2.400000000000000000e+01	2.735505664618865121e+05	1.249063310371977877e+02	7.591961148584084995e+00	-8.727375878564442857e+00	1.179113283651469883e-02	3.934276079513710143e-06	8.361950501045365414e-01	7.057214956636339854e-06	9.886699552486999892e+04	1.136993252630814141e+03	7.693416316364546219e+02	1.976887872215448567e+02	9.595854205376681823e-03	4.142220514398525120e+05	4.052861091198988186e-01	-2.248077536799018006e-01
2.450000000000000000e+01	2.738140440274243010e+05	1.247406071830600069e+02	7.610483276733125635e+00	-8.706193194817874570e+00	1.179271513541904279e-02	3.931565987669895641e-06	8.362481845992197904e-01	7.057336946303332818e-06	9.886327922273993318e+04	1.137079833393210492e+03	7.693645515199992815e+02	1.976839562995278357e+02	9.596141034313020179e-03	4.142148914005202241e+05	4.052898233311676424e-01	-2.248092435586648008e-01
2.500000000000000000e+01	2.740768123753466643e+05	1.245748736602479738e+02	7.629044054705094169e+00	-8.685028122310164633e+00	1.179429789479792025e-02	3.928859950678782949e-06	8.363013306881325049e-01	7.057458949756245243e-06	9.885956255372772284e+04	1.137166439240613499e+03	7.693874761931635931e+02	1.976791249081645674e+02	9.596427949453931530e-03	4.142077307996072923e+05	4.052935371041180290e-01	-2.248096658017574023e-01
2.550000000000000000e+01	2.743390081301870523e+05	1.244091491935190561e+02	7.647646366804305096e+00	-8.663956824016540992e+00	1.179588111486915697e-02	3.926157959589210790e-06	8.363544883771609761e-01	7.057580966998904871e-06	9.885584551773150451e+04	1.137253070185122397e+03	7.694104056579950566e+02	1.976742930473178035e+02	9.596714950826069901e-03	4.142005696369601646e+05	4.052972504384548813e-01	-2.248110764621630564e-01
2.600000000000000000e+01	2.746005079142586328e+05	1.242434172501823610e+02	7.666287998347984356e+00	-8.642908146486897536e+00	1.179746479585074351e-02	3.923460005476438536e-06	8.364076576721976020e-01	7.057702998035140291e-06	9.885212811464941478e+04	1.137339726238846652e+03	7.694333399165440142e+02	1.976694607168501534e+02	9.597002038456101461e-03	4.141934079124250566e+05	4.053009633338823248e-01	-2.248115686625489495e-01
2.650000000000000000e+01	2.748614294907521107e+05	1.240776939298397679e+02	7.684971473469694558e+00	-8.621947250134091689e+00	1.179904893796081787e-02	3.920766079442041183e-06	8.364608385791394429e-01	7.057825042868781786e-06	9.884841034437950293e+04	1.137426407413905281e+03	7.694562789708622859e+02	1.976646279166241129e+02	9.597289212370707992e-03	4.141862456258485909e+05	4.053046757901043740e-01	-2.248129111351750142e-01
2.700000000000000000e+01	2.751216668924753321e+05	1.239119651298402118e+02	7.703694915710278757e+00	-8.601013165553538897e+00	1.180063354141766899e-02	3.918076172613807699e-06	8.365140311038873344e-01	7.057947101503662181e-06	9.884469220681981824e+04	1.137513113722425715e+03	7.694792228230039655e+02	1.976597946465022062e+02	9.597576472596588623e-03	4.141790827770767501e+05	4.053083878068247103e-01	-2.248134632663839616e-01
2.750000000000000000e+01	2.753813217315156362e+05	1.237462447123815821e+02	7.722460540362087400e+00	-8.580161646690710242e+00	1.180221860643975752e-02	3.915390276145658868e-06	8.365672352523491062e-01	7.058069173943615146e-06	9.884097370186826447e+04	1.137599845176546296e+03	7.695021714750247384e+02	1.976549609063467585e+02	9.597863819160451157e-03	4.141719193659559241e+05	4.053120993837468489e-01	-2.248147469880909799e-01
2.800000000000000000e+01	2.756403029453055933e+05	1.235805206471978863e+02	7.741266761742648939e+00	-8.559340435902205613e+00	1.180380413324567425e-02	3.912708381217538864e-06	8.366204510304353636e-01	7.058191260192476894e-06	9.883725482942275994e+04	1.137686601788413100e+03	7.695251249289827911e+02	1.976501266960201519e+02	9.598151252089024213e-03	4.141647553923321539e+05	4.053158105205731943e-01	-2.248153504949002290e-01
2.850000000000000000e+01	2.758986983135934570e+05	1.234148048893237899e+02	7.760115530350766733e+00	-8.538597238321685268e+00	1.180539012205416433e-02	3.910030479035321238e-06	8.366736784440621522e-01	7.058313360254084484e-06	9.883353558938113565e+04	1.137773383570182432e+03	7.695480831869382428e+02	1.976452920153845412e+02	9.598438771409048553e-03	4.141575908560516546e+05	4.053195212170063177e-01	-2.248165835418378111e-01
2.900000000000000000e+01	2.761564295335910283e+05	1.232490871761575022e+02	7.779005510558905101e+00	-8.517887255620253839e+00	1.180697657308415333e-02	3.907356560830719124e-06	8.367269174991515124e-01	7.058435474132278363e-06	9.882981598164122261e+04	1.137860190534020148e+03	7.695710462509529179e+02	1.976404568643021094e+02	9.598726377147278818e-03	4.141504257569601759e+05	4.053232314727489016e-01	-2.248172311256874389e-01
2.950000000000000000e+01	2.764135725385002443e+05	1.230833778370935789e+02	7.797938425911590699e+00	-8.497251299051519879e+00	1.180856348655468825e-02	3.904686617861186990e-06	8.367801682016294818e-01	7.058557601830898978e-06	9.882609600610070629e+04	1.137947022692101427e+03	7.695940141230910285e+02	1.976356212426349828e+02	9.599014069330485260e-03	4.141432600949037587e+05	4.053269412875022959e-01	-2.248184204110504347e-01
3.000000000000000000e+01	2.766700599475309136e+05	1.229176681173200194e+02	7.816913155847889705e+00	-8.476650964157329327e+00	1.181015086268499999e-02	3.902020641409827461e-06	8.368334305574263166e-01	7.058679743353789319e-06	9.882237566265728674e+04	1.138033880056610542e+03	7.696169868054182643e+02	1.976307851502451172e+02	9.599301847985457214e-03	4.141360938697283273e+05	4.053306506609684612e-01	-2.248191058479176441e-01
3.050000000000000000e+01	2.769259575499420171e+05	1.227519669608379758e+02	7.835931229505383122e+00	-8.456121150707055278e+00	1.181173870169444778e-02	3.899358622785294756e-06	8.368867045724784903e-01	7.058801898704794914e-06	9.881865495120862033e+04	1.138120762639741088e+03	7.696399643000031574e+02	1.976259485869944683e+02	9.599589713138990954e-03	4.141289270812793402e+05	4.053343595928481369e-01	-2.248202572898129192e-01
3.100000000000000000e+01	2.771812073102854774e+05	1.225862668987465867e+02	7.854991711287963696e+00	-8.435628941916407442e+00	1.181332700380255916e-02	3.896700553321703213e-06	8.369399902527266955e-01	7.058924067887762988e-06	9.881493387165221793e+04	1.138207670453696892e+03	7.696629466089154903e+02	1.976211115527448499e+02	9.599877664817901834e-03	4.141217597294027801e+05	4.053380680828421734e-01	-2.248209752756297752e-01
3.150000000000000000e+01	2.774358663356979378e+05	1.224205756949324950e+02	7.874095963964639289e+00	-8.415204161449713283e+00	1.181491576922901778e-02	3.894046424378538346e-06	8.369932876041168424e-01	7.059046250906539916e-06	9.881121242388566316e+04	1.138294603510690649e+03	7.696859337342276604e+02	1.976162740473581039e+02	9.600165703049020824e-03	4.141145918139441055e+05	4.053417761306510325e-01	-2.248220939395459139e-01
3.200000000000000000e+01	2.776898845813832013e+05	1.222548869767103525e+02	7.893243210964879353e+00	-8.394818609785575703e+00	1.181650499819365992e-02	3.891396227340553510e-06	8.370465966325993934e-01	7.059168447764978006e-06	9.880749060780635045e+04	1.138381561822944377e+03	7.697089256780134292e+02	1.976114360706958735e+02	9.600453827859189299e-03	4.141074233347489499e+05	4.053454837359750096e-01	-2.248228399590736226e-01
