xcoord (m)	temperature (K)
0.000000000000000000e+00	1.327425535283614408e+02
5.000000000000000000e-01	1.326575150900908966e+02
1.000000000000000000e+00	1.324922644739546342e+02
1.500000000000000000e+00	1.323272953940657146e+02
2.000000000000000000e+00	1.321619418556884682e+02
2.500000000000000000e+00	1.319969234900502499e+02
3.000000000000000000e+00	1.318315588944366823e+02
3.500000000000000000e+00	1.316664807173596614e+02
4.000000000000000000e+00	1.315011064296463132e+02
4.500000000000000000e+00	1.313359728580629451e+02
5.000000000000000000e+00	1.311705867977375419e+02
5.500000000000000000e+00	1.310054027000377914e+02
6.000000000000000000e+00	1.308400031110151929e+02
6.500000000000000000e+00	1.306747728824383046e+02
7.000000000000000000e+00	1.305093585086175665e+02
7.500000000000000000e+00	1.303440860891517161e+02
8.000000000000000000e+00	1.301786561111109961e+02
8.500000000000000000e+00	1.300133450562921098e+02
9.000000000000000000e+00	1.298478990235865922e+02
9.500000000000000000e+00	1.296825525676603377e+02
1.000000000000000000e+01	1.295170903411948586e+02
1.050000000000000000e+01	1.293517114502654408e+02
1.100000000000000000e+01	1.291862331540458513e+02
1.150000000000000000e+01	1.290208245706117509e+02
1.200000000000000000e+01	1.288553305513774490e+02
1.250000000000000000e+01	1.286898948316698181e+02
1.300000000000000000e+01	1.285243856251206012e+02
1.350000000000000000e+01	1.283589251704261471e+02
1.400000000000000000e+01	1.281934014729496312e+02
1.450000000000000000e+01	1.280279185559145390e+02
1.500000000000000000e+01	1.278623812009140721e+02
1.550000000000000000e+01	1.276968779876511633e+02
1.600000000000000000e+01	1.275313279257207029e+02
1.650000000000000000e+01	1.273658064944062289e+02
1.700000000000000000e+01	1.272002447767246025e+02
1.750000000000000000e+01	1.270347071332614490e+02
1.800000000000000000e+01	1.268691348976821018e+02
1.850000000000000000e+01	1.267035829889027241e+02
1.900000000000000000e+01	1.265380014483043709e+02
1.950000000000000000e+01	1.263724371731200193e+02
2.000000000000000000e+01	1.262068476056475106e+02
2.050000000000000000e+01	1.260412728244702976e+02
2.100000000000000000e+01	1.258756765653685221e+02
2.150000000000000000e+01	1.257100931080904331e+02
2.200000000000000000e+01	1.255444915428713131e+02
2.250000000000000000e+01	1.253789012156290994e+02
2.300000000000000000e+01	1.252132957743595654e+02
2.350000000000000000e+01	1.250477003652869570e+02
2.400000000000000000e+01	1.248820925178194301e+02
2.450000000000000000e+01	1.247164938019435994e+02
2.500000000000000000e+01	1.245508850539407746e+02
2.550000000000000000e+01	1.243852847973638802e+02
2.600000000000000000e+01	1.242196766869912068e+02
2.650000000000000000e+01	1.240540766504712167e+02
2.700000000000000000e+01	1.238884707456531800e+02
2.750000000000000000e+01	1.237228726876810470e+02
2.800000000000000000e+01	1.235572705838296770e+02
2.850000000000000000e+01	1.233916762632832445e+02
2.900000000000000000e+01	1.232260795814319607e+02
2.950000000000000000e+01	1.230604907598736162e+02
3.000000000000000000e+01	1.228949011451464344e+02
3.050000000000000000e+01	1.227293195888254047e+02
3.100000000000000000e+01	1.225637387091934869e+02
3.150000000000000000e+01	1.223981661907955640e+02
3.200000000000000000e+01	1.222325957360775561e+02
3.250000000000000000e+01	1.220670340362689643e+02
3.300000000000000000e+01	1.219014757173360550e+02
3.350000000000000000e+01	1.217359266261309898e+02
3.400000000000000000e+01	1.215703821742855979e+02
3.450000000000000000e+01	1.214048474922700507e+02
3.500000000000000000e+01	1.212393186587735130e+02
3.550000000000000000e+01	1.210738001982058734e+02
3.600000000000000000e+01	1.209082887539312310e+02
3.650000000000000000e+01	1.207427883397464825e+02
3.700000000000000000e+01	1.205772960749381753e+02
3.750000000000000000e+01	1.204118155456658030e+02
3.800000000000000000e+01	1.202463442697896312e+02
3.850000000000000000e+01	1.200808854784073958e+02
3.900000000000000000e+01	1.199154370200775617e+02
3.950000000000000000e+01	1.197500018348110160e+02
4.000000000000000000e+01	1.195845780417825210e+02
4.050000000000000000e+01	1.194191683468592089e+02
4.100000000000000000e+01	1.192537710860755453e+02
4.150000000000000000e+01	1.190883887824492717e+02
4.200000000000000000e+01	1.189230199401343384e+02
4.250000000000000000e+01	1.187576669461831784e+02
4.300000000000000000e+01	1.185923284279746355e+02
4.350000000000000000e+01	1.184270066801817052e+02
4.400000000000000000e+01	1.182617004112950667e+02
4.450000000000000000e+01	1.180964118649185934e+02
4.500000000000000000e+01	1.179311397903348535e+02
4.550000000000000000e+01	1.177658864200757449e+02
4.600000000000000000e+01	1.176006505047526787e+02
4.650000000000000000e+01	1.174354343054214382e+02
4.700000000000000000e+01	1.172702365345173092e+02
4.750000000000000000e+01	1.171050595217102739e+02
4.800000000000000000e+01	1.169399019008184126e+02
