xcoord (m)	temperature (K)
0.000000000000000000e+00	2.720314450213647319e+02
5.000000000000000000e-01	2.720284193983749788e+02
1.000000000000000000e+00	2.720224548847411938e+02
1.500000000000000000e+00	2.720164586116525243e+02
2.000000000000000000e+00	2.720104865657164623e+02
2.500000000000000000e+00	2.720045435561309546e+02
3.000000000000000000e+00	2.719986124023844809e+02
3.500000000000000000e+00	2.719927117162046670e+02
4.000000000000000000e+00	2.719868237010949770e+02
4.500000000000000000e+00	2.719809647552424963e+02
5.000000000000000000e+00	2.719751197485082344e+02
5.500000000000000000e+00	2.719693024907075483e+02
6.000000000000000000e+00	2.719635002541396034e+02
6.500000000000000000e+00	2.719577246414848446e+02
7.000000000000000000e+00	2.719519649467516729e+02
7.500000000000000000e+00	2.719462309209239379e+02
8.000000000000000000e+00	2.719405135531150677e+02
8.500000000000000000e+00	2.719348210415839731e+02
9.000000000000000000e+00	2.719291457971181103e+02
9.500000000000000000e+00	2.719234947153112785e+02
1.000000000000000000e+01	2.719178613999322351e+02
1.050000000000000000e+01	2.719122516530950406e+02
1.100000000000000000e+01	2.719066600801944560e+02
1.150000000000000000e+01	2.719010915649508320e+02
1.200000000000000000e+01	2.718955415541724392e+02
1.250000000000000000e+01	2.718900141598169853e+02
1.300000000000000000e+01	2.718845055358997911e+02
1.350000000000000000e+01	2.718790191454819478e+02
1.400000000000000000e+01	2.718735517372982144e+02
1.450000000000000000e+01	2.718681062285231178e+02
1.500000000000000000e+01	2.718626798682787467e+02
1.550000000000000000e+01	2.718572751142639277e+02
1.600000000000000000e+01	2.718518896368353808e+02
1.650000000000000000e+01	2.718465255067390558e+02
1.700000000000000000e+01	2.718411807491188483e+02
1.750000000000000000e+01	2.718358571086728261e+02
1.800000000000000000e+01	2.718305529095134716e+02
1.850000000000000000e+01	2.718252696214674984e+02
1.900000000000000000e+01	2.718200058206978156e+02
1.950000000000000000e+01	2.718147627451859307e+02
2.000000000000000000e+01	2.718095391836999397e+02
2.050000000000000000e+01	2.718043361785627212e+02
2.100000000000000000e+01	2.717991526979507739e+02
2.150000000000000000e+01	2.717939896189935780e+02
2.200000000000000000e+01	2.717888460613353345e+02
2.250000000000000000e+01	2.717837227625547030e+02
2.300000000000000000e+01	2.717786189702298429e+02
2.350000000000000000e+01	2.717735353039972210e+02
2.400000000000000000e+01	2.717684711195448131e+02
2.450000000000000000e+01	2.717634269367792967e+02
2.500000000000000000e+01	2.717584022027660353e+02
2.550000000000000000e+01	2.717533973530588014e+02
2.600000000000000000e+01	2.717484119119891375e+02
2.650000000000000000e+01	2.717434462437292950e+02
2.700000000000000000e+01	2.717384999379548844e+02
2.750000000000000000e+01	2.717335732984225842e+02
2.800000000000000000e+01	2.717286659700845348e+02
2.850000000000000000e+01	2.717237782055373145e+02
2.900000000000000000e+01	2.717189096965027488e+02
2.950000000000000000e+01	2.717140606522599455e+02
3.000000000000000000e+01	2.717092308040856778e+02
3.050000000000000000e+01	2.717044203245773701e+02
3.100000000000000000e+01	2.716996289784715941e+02
3.150000000000000000e+01	2.716948569073091448e+02
3.200000000000000000e+01	2.716901039041057402e+02
3.250000000000000000e+01	2.716853700841227237e+02
3.300000000000000000e+01	2.716806552642607926e+02
3.350000000000000000e+01	2.716759595375599474e+02
3.400000000000000000e+01	2.716712827410653404e+02
3.450000000000000000e+01	2.716666249490614859e+02
3.500000000000000000e+01	2.716619860155411175e+02
3.550000000000000000e+01	2.716573659989851990e+02
3.600000000000000000e+01	2.716527647676176684e+02
3.650000000000000000e+01	2.716481823666414357e+02
3.700000000000000000e+01	2.716436186761651470e+02
3.750000000000000000e+01	2.716390737303026413e+02
3.800000000000000000e+01	2.716345474190248410e+02
3.850000000000000000e+01	2.716300397672400209e+02
3.900000000000000000e+01	2.716255506730329898e+02
3.950000000000000000e+01	2.716210801537404791e+02
4.000000000000000000e+01	2.716166281140424417e+02
4.050000000000000000e+01	2.716121945651389638e+02
4.100000000000000000e+01	2.716077794169548270e+02
4.150000000000000000e+01	2.716033826758366558e+02
4.200000000000000000e+01	2.715990042557506854e+02
4.250000000000000000e+01	2.715946441593259806e+02
4.300000000000000000e+01	2.715903023035017441e+02
4.350000000000000000e+01	2.715859786882236335e+02
4.400000000000000000e+01	2.715816732324059330e+02
4.450000000000000000e+01	2.715773859342860419e+02
4.500000000000000000e+01	2.715731167138182514e+02
4.550000000000000000e+01	2.715688655684393211e+02
4.600000000000000000e+01	2.715646324182620788e+02
4.650000000000000000e+01	2.715604172608034332e+02
4.700000000000000000e+01	2.715562200154648167e+02
4.750000000000000000e+01	2.715520406807160612e+02
4.800000000000000000e+01	2.715478791743803413e+02
4.850000000000000000e+01	2.715437354967611441e+02
4.900000000000000000e+01	2.715396095632154925e+02
4.950000000000000000e+01	2.715355013767862147e+02
5.000000000000000000e+01	2.715314108494503671e+02
5.050000000000000000e+01	2.715273379879375852e+02
5.100000000000000000e+01	2.715232826998670816e+02
5.150000000000000000e+01	2.715192449966750132e+02
5.200000000000000000e+01	2.715152247805758066e+02
5.250000000000000000e+01	2.715112220688039883e+02
5.300000000000000000e+01	2.715072367570313645e+02
5.350000000000000000e+01	2.715032688694996068e+02
5.400000000000000000e+01	2.714993182940700649e+02
5.450000000000000000e+01	2.714953850633260117e+02
5.500000000000000000e+01	2.714914690559197084e+02
5.550000000000000000e+01	2.714875703142684529e+02
5.600000000000000000e+01	2.714836887062386950e+02
5.650000000000000000e+01	2.714798242857497144e+02
5.700000000000000000e+01	2.714759769081284730e+02
5.750000000000000000e+01	2.714721466406678019e+02
5.800000000000000000e+01	2.714683333241626997e+02
5.850000000000000000e+01	2.714645370414069703e+02
5.900000000000000000e+01	2.714607576164102056e+02
5.950000000000000000e+01	2.714569951498716591e+02
6.000000000000000000e+01	2.714532494464632464e+02
6.050000000000000000e+01	2.714495206275117312e+02
6.100000000000000000e+01	2.714458084754546690e+02
6.150000000000000000e+01	2.714421131353427086e+02
6.200000000000000000e+01	2.714384343640883230e+02
6.250000000000000000e+01	2.714347723339785716e+02
6.300000000000000000e+01	2.714311267726577057e+02
6.350000000000000000e+01	2.714274978836504602e+02
6.400000000000000000e+01	2.714238853610779643e+02
6.450000000000000000e+01	2.714202894442400975e+02
6.500000000000000000e+01	2.714167097888983449e+02
6.550000000000000000e+01	2.714131466753010500e+02
6.600000000000000000e+01	2.714095997153431199e+02
6.650000000000000000e+01	2.714060692360877738e+02
6.700000000000000000e+01	2.714025547993158511e+02
6.750000000000000000e+01	2.713990567855803420e+02
6.800000000000000000e+01	2.713955746994401466e+02
6.850000000000000000e+01	2.713921089825162767e+02
6.900000000000000000e+01	2.713886590740705174e+02
6.950000000000000000e+01	2.713852254854125476e+02
