xcoord (m)	temperature (K)
0.000000000000000000e+00	3.002654385456823150e+01
5.000000000000000000e-01	3.003679091932946577e+01
1.000000000000000000e+00	3.004538574323487765e+01
1.500000000000000000e+00	3.005536713335906995e+01
2.000000000000000000e+00	3.006396300614897754e+01
2.500000000000000000e+00	3.007376055838593132e+01
3.000000000000000000e+00	3.008234501660875893e+01
3.500000000000000000e+00	3.009197068660980889e+01
4.000000000000000000e+00	3.010053400746098617e+01
4.500000000000000000e+00	3.010999819306307757e+01
5.000000000000000000e+00	3.011853193991120392e+01
5.500000000000000000e+00	3.012784385327646319e+01
6.000000000000000000e+00	3.013634069502025881e+01
6.500000000000000000e+00	3.014550850585367670e+01
7.000000000000000000e+00	3.015396208600157379e+01
7.500000000000000000e+00	3.016299304436970274e+01
8.000000000000000000e+00	3.017139786548327507e+01
8.500000000000000000e+00	3.018029841058637430e+01
9.000000000000000000e+00	3.018864973194321166e+01
9.500000000000000000e+00	3.019742558839989854e+01
1.000000000000000000e+01	3.020571933542990095e+01
1.050000000000000000e+01	3.021437559845488252e+01
1.100000000000000000e+01	3.022260828264121102e+01
1.150000000000000000e+01	3.023114949335561619e+01
1.200000000000000000e+01	3.023931814143100638e+01
1.250000000000000000e+01	3.024774835341172974e+01
1.300000000000000000e+01	3.025585044480530428e+01
1.350000000000000000e+01	3.026417328286068908e+01
1.400000000000000000e+01	3.027220669446598933e+01
1.450000000000000000e+01	3.028042540651614090e+01
1.500000000000000000e+01	3.028838836395003042e+01
1.550000000000000000e+01	3.029650586679564839e+01
1.600000000000000000e+01	3.030439690141116671e+01
1.650000000000000000e+01	3.031241582108694033e+01
1.700000000000000000e+01	3.032023373208249950e+01
1.750000000000000000e+01	3.032815643941590622e+01
1.800000000000000000e+01	3.033590026045622778e+01
1.850000000000000000e+01	3.034372890238302389e+01
1.900000000000000000e+01	3.035139787221275753e+01
1.950000000000000000e+01	3.035913439933909075e+01
2.000000000000000000e+01	3.036672793592675390e+01
2.050000000000000000e+01	3.037437412677379811e+01
2.100000000000000000e+01	3.038189180457678873e+01
2.150000000000000000e+01	3.038944928689388547e+01
2.200000000000000000e+01	3.039689081687957994e+01
2.250000000000000000e+01	3.040436108636987100e+01
2.300000000000000000e+01	3.041172629847084252e+01
2.350000000000000000e+01	3.041911073523279185e+01
2.400000000000000000e+01	3.042639956294912906e+01
2.450000000000000000e+01	3.043369944590438436e+01
2.500000000000000000e+01	3.044091191279981956e+01
2.550000000000000000e+01	3.044812843234630861e+01
2.600000000000000000e+01	3.045526464021323676e+01
2.650000000000000000e+01	3.046239890931490635e+01
2.700000000000000000e+01	3.046945902780953475e+01
2.750000000000000000e+01	3.047651209171023368e+01
2.800000000000000000e+01	3.048349634928202079e+01
2.850000000000000000e+01	3.049046919400941391e+01
2.900000000000000000e+01	3.049737786996884381e+01
2.950000000000000000e+01	3.050427142977455830e+01
3.000000000000000000e+01	3.051110484736264183e+01
3.050000000000000000e+01	3.051792001122846187e+01
3.100000000000000000e+01	3.052467853156581512e+01
3.150000000000000000e+01	3.053141614888953370e+01
3.200000000000000000e+01	3.053810016569860863e+01
3.250000000000000000e+01	3.054476105126160590e+01
3.300000000000000000e+01	3.055137098626745740e+01
3.350000000000000000e+01	3.055795592457181442e+01
3.400000000000000000e+01	3.056449222349830919e+01
3.450000000000000000e+01	3.057100197255286389e+01
3.500000000000000000e+01	3.057746510164130882e+01
3.550000000000000000e+01	3.058390039626542034e+01
3.600000000000000000e+01	3.059029083925073067e+01
3.650000000000000000e+01	3.059665239395688019e+01
3.700000000000000000e+01	3.060297064944533574e+01
3.750000000000000000e+01	3.060925916095417065e+01
3.800000000000000000e+01	3.061550574015262072e+01
3.850000000000000000e+01	3.062172188958786023e+01
3.900000000000000000e+01	3.062789731434111928e+01
3.950000000000000000e+01	3.063404176914602672e+01
4.000000000000000000e+01	3.064014657024377541e+01
4.050000000000000000e+01	3.064621998585552021e+01
4.100000000000000000e+01	3.065225470157567145e+01
4.150000000000000000e+01	3.065825772289050732e+01
4.200000000000000000e+01	3.066422289774958898e+01
4.250000000000000000e+01	3.067015616040665904e+01
4.300000000000000000e+01	3.067605234409203874e+01
4.350000000000000000e+01	3.068191647560145086e+01
4.400000000000000000e+01	3.068774422206224628e+01
4.450000000000000000e+01	3.069353984279922898e+01
4.500000000000000000e+01	3.069929970947795184e+01
4.550000000000000000e+01	3.070502743356307107e+01
4.600000000000000000e+01	3.071071998074946308e+01
4.650000000000000000e+01	3.071638041683211284e+01
4.700000000000000000e+01	3.072200620712618147e+01
4.750000000000000000e+01	3.072759995908701924e+01
4.800000000000000000e+01	3.073315955695752777e+01
4.850000000000000000e+01	3.073868722454386315e+01
4.900000000000000000e+01	3.074418119597215338e+01
4.950000000000000000e+01	3.074964337537861780e+01
5.000000000000000000e+01	3.075507228757765432e+01
5.050000000000000000e+01	3.076046957198421694e+01
5.100000000000000000e+01	3.076583399318570144e+01
5.150000000000000000e+01	3.077116697326286499e+01
5.200000000000000000e+01	3.077646747256481063e+01
5.250000000000000000e+01	3.078173673695685153e+01
5.300000000000000000e+01	3.078697388422620662e+01
5.350000000000000000e+01	3.079218002002104981e+01
5.400000000000000000e+01	3.079735438584600260e+01
5.450000000000000000e+01	3.080249797904185272e+01
5.500000000000000000e+01	3.080761013472972110e+01
5.550000000000000000e+01	3.081269177070729626e+01
5.600000000000000000e+01	3.081774228832396645e+01
5.650000000000000000e+01	3.082276255233401585e+01
5.700000000000000000e+01	3.082775200478213762e+01
5.750000000000000000e+01	3.083271148245797733e+01
5.800000000000000000e+01	3.083764044358973067e+01
5.850000000000000000e+01	3.084253972149646117e+01
5.900000000000000000e+01	3.084740876625840400e+01
5.950000000000000000e+01	3.085224843249022442e+01
6.000000000000000000e+01	3.085705813709733292e+01
6.050000000000000000e+01	3.086183878193678609e+01
6.100000000000000000e+01	3.086658972407026624e+01
6.150000000000000000e+01	3.087131194072578566e+01
6.200000000000000000e+01	3.087600469975203055e+01
6.250000000000000000e+01	3.088066908519194698e+01
6.300000000000000000e+01	3.088530424239470307e+01
6.350000000000000000e+01	3.088991139830044474e+01
6.400000000000000000e+01	3.089448953711967505e+01
6.450000000000000000e+01	3.089904007098530769e+01
6.500000000000000000e+01	3.090356177725139730e+01
6.550000000000000000e+01	3.090805630366214984e+01
6.600000000000000000e+01	3.091252216581132828e+01
6.650000000000000000e+01	3.091696130794286290e+01
6.700000000000000000e+01	3.092137191719467992e+01
6.750000000000000000e+01	3.092575630858290836e+01
6.800000000000000000e+01	3.093011225905267025e+01
6.850000000000000000e+01	3.093444254569884677e+01
6.900000000000000000e+01	3.093874443441000821e+01
6.950000000000000000e+01	3.094302127730039942e+01
7.000000000000000000e+01	3.094726970404783017e+01
7.050000000000000000e+01	3.095149378219091574e+01
7.100000000000000000e+01	3.095568934918933124e+01
7.150000000000000000e+01	3.095986136329965532e+01
7.200000000000000000e+01	3.096400467452840033e+01
7.250000000000000000e+01	3.096812535152457357e+01
7.300000000000000000e+01	3.097221701164791341e+01
7.350000000000000000e+01	3.097628711017989644e+01
7.400000000000000000e+01	3.098032772288032533e+01
7.450000000000000000e+01	3.098434804016514121e+01
7.500000000000000000e+01	3.098833820566786912e+01
7.550000000000000000e+01	3.099230958599838814e+01
7.600000000000000000e+01	3.099624989748847526e+01
7.650000000000000000e+01	3.100017324289227361e+01
7.700000000000000000e+01	3.100406428141670645e+01
7.750000000000000000e+01	3.100794056509497665e+01
7.800000000000000000e+01	3.101178289239583918e+01
7.850000000000000000e+01	3.101561317577614929e+01
7.900000000000000000e+01	3.101940732429987335e+01
7.950000000000000000e+01	3.102319277881387904e+01
8.000000000000000000e+01	3.102693923786152297e+01
8.050000000000000000e+01	3.103068117293726402e+01
8.100000000000000000e+01	3.103438036953729906e+01
8.150000000000000000e+01	3.103808026881117144e+01
8.200000000000000000e+01	3.104173254135968207e+01
8.250000000000000000e+01	3.104539210982742858e+01
8.300000000000000000e+01	3.104899767179177061e+01
8.350000000000000000e+01	3.105261889760392080e+01
8.400000000000000000e+01	3.105617778753614644e+01
8.450000000000000000e+01	3.105976302352049245e+01
8.500000000000000000e+01	3.106327503614216212e+01
8.550000000000000000e+01	3.106682710806774139e+01
8.600000000000000000e+01	3.107029169908148702e+01
8.650000000000000000e+01	3.107381405040906230e+01
8.700000000000000000e+01	3.107723020468496955e+01
8.750000000000000000e+01	3.108072709143130652e+01
8.800000000000000000e+01	3.108409313988971689e+01
8.850000000000000000e+01	3.108756989479994814e+01
8.900000000000000000e+01	3.109088325905426231e+01
8.950000000000000000e+01	3.109434665231358608e+01
9.000000000000000000e+01	3.109760348701016852e+01
9.050000000000000000e+01	3.110106222242744423e+01
9.100000000000000000e+01	3.110425691181363916e+01
9.150000000000000000e+01	3.110772231458838988e+01
9.200000000000000000e+01	3.111084675998070992e+01
9.250000000000000000e+01	3.111433373761116528e+01
9.300000000000000000e+01	3.111737634276228803e+01
9.350000000000000000e+01	3.112090473870672014e+01
9.400000000000000000e+01	3.112384895531604201e+01
9.450000000000000000e+01	3.112744547249715410e+01
9.500000000000000000e+01	3.113026769992965015e+01
9.550000000000000000e+01	3.113396865892054421e+01
9.600000000000000000e+01	3.113663518731923219e+01
9.650000000000000000e+01	3.114049051879029761e+01
9.700000000000000000e+01	3.114295304647950857e+01
9.750000000000000000e+01	3.114703209722618382e+01
9.800000000000000000e+01	3.114922128436290194e+01
9.850000000000000000e+01	3.115362027947275791e+01
9.900000000000000000e+01	3.115544303943579862e+01
9.950000000000000000e+01	3.116034363027919696e+01
1.000000000000000000e+02	3.117276682445283953e+01
